case_group,case_name,file,rows,soc_start_min_mwh,soc_start_max_mwh,soc_start_max_violation_mwh,soc_end_min_mwh,soc_end_max_mwh,soc_end_max_violation_mwh,final_soc_mwh,final_soc_target_violation_mwh,charge_max_mw,charge_max_violation_mw,charge_negative_violation_mw,discharge_max_mw,discharge_max_violation_mw,discharge_negative_violation_mw,delivered_max_mw,delivered_max_violation_mw,delivered_negative_violation_mw,wind_balance_max_abs_mw,delivered_definition_max_abs_mw,passes_common_100mw_10h_checks
Step 0,100 MW benchmark 2014-2023,100 MW baseload/results/frozen_controlled/constant_output_baseload_100mw_2014_2023_hourly.csv,87417,200.0,1000.0,0.0,200.0,1000.0,0.0,600.0,0.0,100.0,0.0,0.0,100.00000000000004,4.263256414560601e-14,0.0,200.00000000000009,0.0,0.0,2.842170943040401e-14,4.263256414560601e-14,True
Step 2,deterministic forecast-driven RH MILP 24 h,rolling horizon/results/controlled_hourly_nowcast_from_knobs/horizon_24h/single_forecast_recourse_nowcast_gated_labels.csv,87417,199.99999999999991,1000.0,8.526512829121202e-14,199.99999999999991,1000.0,8.526512829121202e-14,600.0,0.0,100.0,0.0,0.0,100.00000000000004,4.263256414560601e-14,0.0,249.0,0.0,0.0,3.019806626980426e-14,5.684341886080802e-14,True
Step 4 hourly,hourly-replan oracle 24 h,oracle upper bound/results/frozen_controlled/oracle_dispatch_24h.csv,87417,200.0,1000.0,0.0,200.0,1000.0,0.0,600.0,0.0,100.0,0.0,0.0,100.00000000000004,4.263256414560601e-14,0.0,249.0,0.0,0.0,4.263256414560601e-14,5.684341886080802e-14,True
Step 2,deterministic forecast-driven RH MILP 48 h,rolling horizon/results/controlled_hourly_nowcast_from_knobs/horizon_48h/single_forecast_recourse_nowcast_gated_labels.csv,87417,199.99999999999991,1000.0,8.526512829121202e-14,199.99999999999991,1000.0,8.526512829121202e-14,600.0,0.0,100.0,0.0,0.0,100.00000000000004,4.263256414560601e-14,0.0,249.0,0.0,0.0,2.842170943040402e-14,5.684341886080802e-14,True
Step 4 hourly,hourly-replan oracle 48 h,oracle upper bound/results/frozen_controlled/oracle_dispatch_48h.csv,87417,200.0,1000.0,0.0,200.0,1000.0,0.0,600.0,0.0,100.0,0.0,0.0,100.00000000000004,4.263256414560601e-14,0.0,249.0,0.0,0.0,4.263256414560601e-14,4.973799150320701e-14,True
Step 2,deterministic forecast-driven RH MILP 72 h,rolling horizon/results/controlled_hourly_nowcast_from_knobs/horizon_72h/single_forecast_recourse_nowcast_gated_labels.csv,87417,199.99999999999991,1000.0,8.526512829121202e-14,199.99999999999991,1000.0,8.526512829121202e-14,600.0,0.0,100.0,0.0,0.0,100.00000000000004,4.263256414560601e-14,0.0,249.0,0.0,0.0,3.8191672047105385e-14,5.684341886080802e-14,True
Step 4 hourly,hourly-replan oracle 72 h,oracle upper bound/results/frozen_controlled/oracle_dispatch_72h.csv,87417,200.0,1000.0,0.0,200.0,1000.0,0.0,600.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,249.0,0.0,0.0,4.263256414560601e-14,5.684341886080802e-14,True
Step 2,deterministic forecast-driven RH MILP 168 h,rolling horizon/results/controlled_hourly_nowcast_from_knobs/horizon_168h/single_forecast_recourse_nowcast_gated_labels.csv,87417,199.99999999999991,1000.0,8.526512829121202e-14,199.99999999999991,1000.0,8.526512829121202e-14,600.0,0.0,100.0,0.0,0.0,100.00000000000004,4.263256414560601e-14,0.0,249.0,0.0,0.0,3.907985046680551e-14,5.684341886080802e-14,True
Step 4 hourly,hourly-replan oracle 168 h,oracle upper bound/results/frozen_controlled/oracle_dispatch_168h.csv,87417,200.0,1000.0,0.0,200.0,1000.0,0.0,600.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,249.0,0.0,0.0,4.263256414560601e-14,5.684341886080802e-14,True
Step 3,single_forecast_recourse_nowcast_gated,different scenarios/results/frozen_controlled/single_forecast_recourse_nowcast_gated_labels.csv,87417,199.99999999999991,1000.0,8.526512829121202e-14,199.99999999999991,1000.0,8.526512829121202e-14,600.0,0.0,100.0,0.0,0.0,100.00000000000004,4.263256414560601e-14,0.0,249.0,0.0,0.0,3.907985046680551e-14,5.684341886080802e-14,True
Step 3,three_scenario_expected_nowcast_gated,different scenarios/results/frozen_controlled/three_scenario_expected_nowcast_gated_labels.csv,87417,199.99999999999991,1000.0,8.526512829121202e-14,199.99999999999991,1000.0,8.526512829121202e-14,600.0,0.0,100.0,0.0,0.0,100.00000000000004,4.263256414560601e-14,0.0,249.0,0.0,0.0,4.263256414560601e-14,5.684341886080802e-14,True
Step 3,five_scenario_expected_nowcast_gated,different scenarios/results/frozen_controlled/five_scenario_expected_nowcast_gated_labels.csv,87417,199.99999999999991,1000.0,8.526512829121202e-14,199.99999999999991,1000.0,8.526512829121202e-14,600.0,0.0,100.0,0.0,0.0,100.00000000000004,4.263256414560601e-14,0.0,249.0,0.0,0.0,3.019806626980426e-14,5.684341886080802e-14,True
Step 3,seven_scenario_expected_nowcast_gated,different scenarios/results/frozen_controlled/seven_scenario_expected_nowcast_gated_labels.csv,87417,199.99999999999991,1000.0,8.526512829121202e-14,199.99999999999991,1000.0,8.526512829121202e-14,600.0,0.0,100.0,0.0,0.0,100.00000000000004,4.263256414560601e-14,0.0,249.0,0.0,0.0,3.019806626980426e-14,5.684341886080802e-14,True
Step 3,ten_scenario_expected_nowcast_gated,different scenarios/results/frozen_controlled/ten_scenario_expected_nowcast_gated_labels.csv,87417,199.99999999999991,1000.0,8.526512829121202e-14,199.99999999999991,1000.0,8.526512829121202e-14,600.0,0.0,100.0,0.0,0.0,100.00000000000004,4.263256414560601e-14,0.0,249.0,0.0,0.0,3.197442310920451e-14,5.684341886080802e-14,True
