hour_index,datetime,horizon_hours,execution_step_hours,actual_generation_mw,forecast_generation_mw,actual_price,forecast_price,planned_direct_mw,planned_charge_mw,planned_discharge_mw,realized_direct_mw,realized_charge_mw,realized_discharge_mw,realized_delivered_mw,realized_curtailment_mw,soc_start_mwh,soc_end_mwh,mode_charge_binary,solver_objective,solver_runtime_seconds,solver_status,used_baseload_gate
297988,2014-01-01 00:00:00,48,24,233.728,226.42464091434076,0.6338418228151279,0.6707429663713042,249.0,0.0,0.0,233.728,0.0,0.0,233.728,0.0,600.0,600.0,0.0,3234.2839611480376,0.005071878433227539,2,0.0
297989,2014-01-01 01:00:00,48,24,234.865,217.70689661611243,0.4034051595587312,0.7330700008073467,249.0,0.0,0.0,234.865,0.0,0.0,234.865,0.0,600.0,600.0,0.0,3234.2839611480376,0.005071878433227539,2,0.0
297990,2014-01-01 02:00:00,48,24,234.757,209.35923327892482,1.0920435919798503,0.7412839400946086,249.0,0.0,0.0,234.757,0.0,0.0,234.757,0.0,600.0,600.0,1.0,3234.2839611480376,0.005071878433227539,2,0.0
297991,2014-01-01 03:00:00,48,24,234.974,198.30580618595587,0.3778472609288514,0.6902790536958074,249.0,0.0,0.0,234.974,0.0,0.0,234.974,0.0,600.0,600.0,1.0,3234.2839611480376,0.005071878433227539,2,0.0
297992,2014-01-01 04:00:00,48,24,234.63,185.93199184105094,0.33640843806321574,0.6725400106831385,249.0,0.0,0.0,234.63,0.0,0.0,234.63,0.0,600.0,600.0,0.0,3234.2839611480376,0.005071878433227539,2,0.0
297993,2014-01-01 05:00:00,48,24,233.969,174.50249454394543,0.9019177607087925,0.7948041521566537,244.22257079894922,0.0,0.0,233.969,0.0,0.0,233.969,0.0,600.0,600.0,0.0,3234.2839611480376,0.005071878433227539,2,0.0
297994,2014-01-01 06:00:00,48,24,233.65,162.69093532792465,0.8779627964877553,0.7921286175003985,232.724651946486,0.0,0.0,232.724651946486,0.0,0.0,232.724651946486,0.925348053514,600.0,600.0,0.0,3234.2839611480376,0.005071878433227539,2,0.0
297995,2014-01-01 07:00:00,48,24,234.341,152.65795415661026,0.32471295367277125,0.654047384873138,222.92556536168792,0.0,0.0,222.92556536168792,0.0,0.0,222.92556536168792,11.415434638312092,600.0,600.0,0.0,3234.2839611480376,0.005071878433227539,2,0.0
297996,2014-01-01 08:00:00,48,24,233.96,143.17013522485405,0.321774240589893,0.8677116558774602,213.30962605475423,0.0,0.0,213.30962605475423,0.0,0.0,213.30962605475423,20.650373945245775,600.0,600.0,0.0,3234.2839611480376,0.005071878433227539,2,0.0
297997,2014-01-01 09:00:00,48,24,222.297,135.31607075071008,1.1670253015490448,0.7141878679192504,204.91917051797816,0.0,0.0,204.91917051797816,0.0,0.0,204.91917051797816,17.377829482021838,600.0,600.0,0.0,3234.2839611480376,0.005071878433227539,2,0.0
297998,2014-01-01 10:00:00,48,24,198.914,129.24572780785758,0.842668555522683,0.8544275216976003,197.22353811395735,0.0,0.0,197.22353811395735,0.0,0.0,197.22353811395735,1.690461886042641,600.0,600.0,0.0,3234.2839611480376,0.005071878433227539,2,0.0
297999,2014-01-01 11:00:00,48,24,201.568,124.4144612840657,1.7853127238042927,0.888253688768015,192.03180889547104,0.0,0.0,192.03180889547104,0.0,0.0,192.03180889547104,9.536191104528967,600.0,600.0,0.0,3234.2839611480376,0.005071878433227539,2,0.0
298000,2014-01-01 12:00:00,48,24,214.83,118.1221064731063,0.5889596593675339,0.986008647082276,183.6396839181683,0.0,0.0,183.6396839181683,0.0,0.0,183.6396839181683,31.190316081831725,600.0,600.0,0.0,3234.2839611480376,0.005071878433227539,2,0.0
298001,2014-01-01 13:00:00,48,24,196.933,113.10471056096954,0.22452955312010617,1.0596053600264925,149.0,0.0,100.0,149.0,0.0,100.0,249.0,47.93299999999999,600.0,418.1818181818182,0.0,3234.2839611480376,0.005071878433227539,2,0.0
298002,2014-01-01 14:00:00,48,24,167.938,108.64918682630419,0.9040312594108221,1.0536538716657755,171.83754368500212,0.0,0.0,167.938,0.0,0.0,167.938,0.0,418.1818181818182,418.1818181818182,0.0,3234.2839611480376,0.005071878433227539,2,0.0
298003,2014-01-01 15:00:00,48,24,115.261,106.27975286578653,0.5883362959863175,1.0245566040941196,149.0,0.0,100.0,115.261,0.0,100.0,215.261,0.0,418.1818181818182,236.36363636363637,0.0,3234.2839611480376,0.005071878433227539,2,0.0
298004,2014-01-01 16:00:00,48,24,102.374,106.19542199126258,1.0325272310589337,0.8131704459445542,166.493412996171,0.0,0.0,102.374,0.0,0.0,102.374,0.0,236.36363636363637,236.36363636363637,0.0,3234.2839611480376,0.005071878433227539,2,0.0
298005,2014-01-01 17:00:00,48,24,47.77,109.27427572869804,0.511721968037746,0.880444235739854,169.07254298440876,0.0,0.0,47.77,0.0,0.0,47.77,0.0,236.36363636363637,236.36363636363637,0.0,3234.2839611480376,0.005071878433227539,2,0.0
298006,2014-01-01 18:00:00,48,24,222.201,113.55230865897329,0.4541350652015475,0.8842434287623671,172.50914131870852,0.0,0.0,172.50914131870852,0.0,0.0,172.50914131870852,49.69185868129148,236.36363636363637,236.36363636363637,0.0,3234.2839611480376,0.005071878433227539,2,0.0
298007,2014-01-01 19:00:00,48,24,234.84,117.18652901750178,0.632387308258956,0.7425545042474262,175.08154674909414,0.0,0.0,175.08154674909414,0.0,0.0,175.08154674909414,59.75845325090586,236.36363636363637,236.36363636363637,0.0,3234.2839611480376,0.005071878433227539,2,0.0
298008,2014-01-01 20:00:00,48,24,234.968,121.35962457066533,0.6586279382111206,0.7722574837362451,178.72538092810362,0.0,0.0,178.72538092810362,0.0,0.0,178.72538092810362,56.24261907189637,236.36363636363637,236.36363636363637,0.0,3234.2839611480376,0.005071878433227539,2,0.0
