hour_index,datetime,horizon_hours,execution_step_hours,actual_generation_mw,forecast_generation_mw,actual_price,forecast_price,planned_direct_mw,planned_charge_mw,planned_discharge_mw,realized_direct_mw,realized_charge_mw,realized_discharge_mw,realized_delivered_mw,realized_curtailment_mw,soc_start_mwh,soc_end_mwh,mode_charge_binary,solver_objective,solver_runtime_seconds,solver_status,used_baseload_gate
297988,2014-01-01 00:00:00,48,1,233.728,233.728,0.6338418228151279,0.6338418228151279,249.0,0.0,0.0,233.728,0.0,0.0,233.728,0.0,600.0,600.0,1.0,2309.4068161168157,0.0058290958404541016,2,0.0
297989,2014-01-01 01:00:00,48,1,234.865,234.865,0.4034051595587312,0.4034051595587312,209.865,100.0,0.0,134.865,100.0,0.0,134.865,0.0,600.0,700.0,1.0,2143.1848048414345,0.005109071731567383,2,0.0
297990,2014-01-01 02:00:00,48,1,234.757,234.757,1.0920435919798503,1.0920435919798503,234.757,0.0,14.242999999999995,234.757,0.0,14.242999999999995,249.0,0.0,700.0,674.1036363636364,0.0,2276.2533722715943,0.005167961120605469,2,0.0
297991,2014-01-01 03:00:00,48,1,234.974,234.974,0.3778472609288514,0.3778472609288514,209.974,100.0,0.0,134.974,100.0,0.0,134.974,0.0,674.1036363636364,774.1036363636364,1.0,2293.805374928342,0.004976987838745117,2,0.0
297992,2014-01-01 04:00:00,48,1,234.63,234.63,0.33640843806321574,0.33640843806321574,209.63,100.0,0.0,134.63,100.0,0.0,134.63,0.0,774.1036363636364,874.1036363636364,1.0,2102.477687763399,0.0048558712005615234,2,0.0
297993,2014-01-01 05:00:00,48,1,233.969,233.969,0.9019177607087925,0.9019177607087925,233.969,0.0,15.031000000000006,233.969,0.0,15.031000000000006,249.0,0.0,874.1036363636364,846.7745454545454,0.0,2355.9500342391357,0.005892038345336914,2,0.0
297994,2014-01-01 06:00:00,48,1,233.65,233.65,0.8779627964877553,0.8779627964877553,233.65,0.0,15.35,233.65,0.0,15.35,249.0,0.0,846.7745454545454,818.8654545454546,0.0,2317.154399536812,0.006262063980102539,2,0.0
297995,2014-01-01 07:00:00,48,1,234.341,234.341,0.32471295367277125,0.32471295367277125,228.20645454545456,81.13454545454545,0.0,153.20645454545456,81.13454545454545,0.0,153.20645454545456,0.0,818.8654545454546,900.0,1.0,2247.6403609762633,0.005204916000366211,2,0.0
297996,2014-01-01 08:00:00,48,1,233.96,233.96,0.321774240589893,0.321774240589893,219.11838772955198,89.84161227044802,0.0,144.11838772955198,89.84161227044802,0.0,144.11838772955198,0.0,900.0,989.841612270448,1.0,2369.135061200884,0.005318880081176758,2,0.0
297997,2014-01-01 09:00:00,48,1,222.297,222.297,1.1670253015490448,1.1670253015490448,222.297,0.0,26.703000000000003,222.297,0.0,26.703000000000003,249.0,0.0,989.841612270448,941.2907031795389,0.0,2407.0592016620753,0.0068340301513671875,2,0.0
297998,2014-01-01 10:00:00,48,1,198.914,198.914,0.842668555522683,0.842668555522683,198.914,0.0,50.08600000000001,198.914,0.0,50.08600000000001,249.0,0.0,941.2907031795389,850.2252486340843,0.0,2561.1480316159755,0.006618022918701172,2,0.0
297999,2014-01-01 11:00:00,48,1,201.568,201.568,1.7853127238042927,1.7853127238042927,201.568,0.0,47.43199999999999,201.568,0.0,47.43199999999999,249.0,0.0,850.2252486340843,763.9852486340843,0.0,2832.2550701317114,0.005950927734375,2,0.0
298000,2014-01-01 12:00:00,48,1,214.83,214.83,0.5889596593675339,0.5889596593675339,249.0,0.0,0.0,214.83,0.0,0.0,214.83,0.0,763.9852486340843,763.9852486340843,0.0,3613.5618211667465,0.005912065505981445,2,0.0
298001,2014-01-01 13:00:00,48,1,196.933,196.933,0.22452955312010617,0.22452955312010617,171.933,100.0,0.0,96.93299999999999,100.0,0.0,96.93299999999999,0.0,763.9852486340843,863.9852486340843,1.0,3169.803694886376,0.0042760372161865234,2,0.0
298002,2014-01-01 14:00:00,48,1,167.938,167.938,0.9040312594108221,0.9040312594108221,194.0,0.0,55.0,167.938,0.0,55.0,222.938,0.0,863.9852486340843,763.9852486340843,0.0,2618.0589067829715,0.005778074264526367,2,0.0
298003,2014-01-01 15:00:00,48,1,115.261,115.261,0.5883362959863175,0.5883362959863175,190.261,0.0,0.0,115.261,0.0,0.0,115.261,0.0,763.9852486340843,763.9852486340843,0.0,2089.3702392548935,0.005021095275878906,2,0.0
298004,2014-01-01 16:00:00,48,1,102.374,102.374,1.0325272310589337,1.0325272310589337,149.0,0.0,100.0,102.374,0.0,100.0,202.374,0.0,763.9852486340843,582.1670668159024,0.0,1762.8943451905986,0.005241870880126953,2,0.0
298005,2014-01-01 17:00:00,48,1,47.77,47.77,0.511721968037746,0.511721968037746,75.0,47.77,0.0,0.0,47.77,0.0,0.0,0.0,582.1670668159024,629.9370668159024,1.0,2116.6054610880933,0.005296945571899414,2,0.0
298006,2014-01-01 18:00:00,48,1,222.201,222.201,0.4541350652015475,0.4541350652015475,249.0,0.0,0.0,222.201,0.0,0.0,222.201,0.0,629.9370668159024,629.9370668159024,0.0,1356.0036302053886,0.00518488883972168,2,0.0
298007,2014-01-01 19:00:00,48,1,234.84,234.84,0.632387308258956,0.632387308258956,249.0,0.0,0.0,234.84,0.0,0.0,234.84,0.0,629.9370668159024,629.9370668159024,0.0,3037.8728757175845,0.006418943405151367,2,0.0
298008,2014-01-01 20:00:00,48,1,234.968,234.968,0.6586279382111206,0.6586279382111206,249.0,0.0,0.0,234.968,0.0,0.0,234.968,0.0,629.9370668159024,629.9370668159024,0.0,2727.679767142393,0.0055370330810546875,2,0.0
298009,2014-01-01 21:00:00,48,1,234.825,234.825,1.806137170825154,1.806137170825154,234.825,0.0,14.175000000000011,234.825,0.0,14.175000000000011,249.0,0.0,629.9370668159024,604.1643395431752,0.0,2771.784569116781,0.0054018497467041016,2,0.0
298010,2014-01-01 22:00:00,48,1,234.979,234.979,1.3419438063772364,1.3419438063772364,234.979,0.0,14.020999999999987,234.979,0.0,14.020999999999987,249.0,0.0,604.1643395431752,578.6716122704479,0.0,3562.0208930724853,0.005958080291748047,2,0.0
298011,2014-01-01 23:00:00,48,1,234.413,234.413,1.9038111341765112,1.9038111341765112,234.413,0.0,14.586999999999989,234.413,0.0,14.586999999999989,249.0,0.0,578.6716122704479,552.1497940886297,0.0,3873.0921718769105,0.004118919372558594,2,0.0
