hour_index,datetime,horizon_hours,actual_generation_mw,forecast_generation_mw,actual_price,forecast_price,planned_direct_mw,planned_charge_mw,planned_discharge_mw,realized_direct_mw,realized_charge_mw,realized_discharge_mw,realized_delivered_mw,realized_curtailment_mw,soc_start_mwh,soc_end_mwh,mode_charge_binary,solver_objective,solver_runtime_seconds,solver_status,used_baseload_gate
297988,2014-01-01 00:00:00,48,233.728,233.728,17.794166666666666,17.794166666666666,233.728,0.0,15.271999999999991,233.728,0.0,15.271999999999991,249.0,0.0,600.0,579.4072394009228,0.0,140718.8467614964,0.013041973114013672,2,0.0
297989,2014-01-01 01:00:00,48,234.865,234.865,11.324999999999998,11.324999999999998,171.31123771412206,63.55376228587795,0.0,171.31123771412206,63.55376228587795,0.0,171.31123771412206,0.0,579.4072394009228,642.9610016868007,1.0,144082.20442601066,0.01001286506652832,2,0.0
297990,2014-01-01 02:00:00,48,234.757,234.757,30.6575,30.6575,234.757,0.0,14.242999999999995,234.757,0.0,14.242999999999995,249.0,0.0,642.9610016868007,623.7557444046728,0.0,148550.71581980927,0.008430957794189453,2,0.0
297991,2014-01-01 03:00:00,48,234.974,234.974,10.6075,10.6075,190.49015514788533,44.48384485211466,0.0,190.49015514788533,44.48384485211466,0.0,190.49015514788533,0.0,623.7557444046728,668.2395892567874,1.0,146825.78855553217,0.009740829467773438,2,0.0
297992,2014-01-01 04:00:00,48,234.63,234.63,9.444166666666668,9.444166666666668,134.62999999999977,100.0,0.0,134.62999999999977,100.0,0.0,134.62999999999977,2.2737367544323206e-13,668.2395892567874,768.2395892567874,1.0,153799.20350021368,0.009215116500854492,2,0.0
297993,2014-01-01 05:00:00,48,233.969,233.969,25.319999999999997,25.319999999999997,233.969,0.0,15.031000000000006,233.969,0.0,15.031000000000006,249.0,0.0,768.2395892567874,747.9717929914175,0.0,156081.57745109752,0.00846099853515625,2,0.0
297994,2014-01-01 06:00:00,48,233.65,233.65,24.647499999999997,24.647499999999997,233.65,0.0,15.35,233.65,0.0,15.35,249.0,0.0,747.9717929914175,727.273857213796,0.0,158411.6397706141,0.008578062057495117,2,0.0
297995,2014-01-01 07:00:00,48,234.341,234.341,9.115833333333333,9.115833333333333,134.341,100.0,0.0,134.341,100.0,0.0,134.341,0.0,727.273857213796,827.273857213796,1.0,159132.90725979707,0.008385896682739258,2,0.0
297996,2014-01-01 08:00:00,48,233.96,233.96,9.033333333333331,9.033333333333331,133.95999999999992,100.0,0.0,133.95999999999992,100.0,0.0,133.95999999999992,8.526512829121202e-14,827.273857213796,927.273857213796,1.0,165871.02567319816,0.008508920669555664,2,0.0
297997,2014-01-01 09:00:00,48,222.297,222.297,32.762499999999996,32.762499999999996,222.297,0.0,26.703000000000003,222.297,0.0,26.703000000000003,249.0,0.0,927.273857213796,891.267539359084,0.0,170966.7427834728,0.009870052337646484,2,0.0
297998,2014-01-01 10:00:00,48,198.914,198.914,23.656666666666663,23.656666666666663,198.914,0.0,50.08600000000001,198.914,0.0,50.08600000000001,249.0,0.0,891.267539359084,823.7315907364161,0.0,163628.7819162104,0.010596036911010742,2,0.0
297999,2014-01-01 11:00:00,48,201.568,201.568,50.120000000000005,50.120000000000005,201.568,0.0,47.43199999999999,201.568,0.0,47.43199999999999,249.0,0.0,823.7315907364161,759.7742949837032,0.0,166105.7532698379,0.008696794509887695,2,0.0
298000,2014-01-01 12:00:00,48,214.83,214.83,16.534166666666664,16.534166666666664,214.83,0.0,0.0,214.83,0.0,0.0,214.83,0.0,759.7742949837032,759.7742949837032,0.0,159459.60740711732,0.008569955825805664,2,0.0
298001,2014-01-01 13:00:00,48,196.933,196.933,6.303333333333332,6.303333333333332,96.93299999999999,100.0,0.0,96.93299999999999,100.0,0.0,96.93299999999999,0.0,759.7742949837032,859.7742949837032,1.0,160575.73901083198,0.008440971374511719,2,0.0
298002,2014-01-01 14:00:00,48,167.938,167.938,25.37933333333333,25.37933333333333,167.938,0.0,81.06200000000001,167.938,0.0,81.06200000000001,249.0,0.0,859.7742949837032,750.4703164817125,0.0,156699.90430494424,0.00872802734375,2,0.0
298003,2014-01-01 15:00:00,48,115.261,115.261,16.51666666666667,16.51666666666667,65.73131648171253,49.52968351828747,0.0,65.73131648171253,49.52968351828747,0.0,65.73131648171253,0.0,750.4703164817125,800.0,1.0,148014.78201075832,0.008458137512207031,2,0.0
