hour_index,datetime,horizon_hours,execution_step_hours,actual_generation_mw,forecast_generation_mw,actual_price,forecast_price,planned_direct_mw,planned_charge_mw,planned_discharge_mw,realized_direct_mw,realized_charge_mw,realized_discharge_mw,realized_delivered_mw,realized_curtailment_mw,soc_start_mwh,soc_end_mwh,mode_charge_binary,solver_objective,solver_runtime_seconds,solver_status,used_baseload_gate
297988,2014-01-01 00:00:00,48,24,233.728,233.728,17.794166666666666,17.794166666666666,233.728,0.0,15.271999999999991,233.728,0.0,15.271999999999991,249.0,0.0,600.0,572.2327272727273,0.0,132215.4041443898,0.011633157730102539,2,0.0
297989,2014-01-01 01:00:00,48,24,234.865,217.7076102317247,11.324999999999998,-24.87833333333333,75.0,100.0,0.0,75.0,100.0,0.0,75.0,59.86500000000001,572.2327272727273,672.2327272727273,1.0,132215.4041443898,0.011633157730102539,2,0.0
297990,2014-01-01 02:00:00,48,24,234.757,209.35644941272056,30.6575,21.846666666666664,209.35644941272056,0.0,39.643550587279435,209.35644941272056,0.0,39.643550587279435,249.0,25.40055058727944,672.2327272727273,600.1535443867647,0.0,132215.4041443898,0.011633157730102539,2,0.0
297991,2014-01-01 03:00:00,48,24,234.974,198.29246559916373,10.6075,-0.3183333333333333,75.0,100.0,0.0,75.0,100.0,0.0,75.0,59.97399999999999,600.1535443867647,700.1535443867647,1.0,132215.4041443898,0.011633157730102539,2,0.0
297992,2014-01-01 04:00:00,48,24,234.63,185.9005598513773,9.444166666666668,-0.7841666666666668,75.0,100.0,0.0,75.0,100.0,0.0,75.0,59.629999999999995,700.1535443867647,800.1535443867647,1.0,132215.4041443898,0.011633157730102539,2,0.0
297993,2014-01-01 05:00:00,48,24,233.969,174.46966869261814,25.319999999999997,22.66166666666666,174.46966869261814,0.0,74.53033130738186,174.46966869261814,0.0,74.53033130738186,249.0,59.49933130738185,800.1535443867647,664.6438511006158,0.0,132215.4041443898,0.011633157730102539,2,0.0
297994,2014-01-01 06:00:00,48,24,233.65,162.65582157270626,24.647499999999997,2.8783333333333325,163.1110300330788,74.54479153962745,0.0,159.10520846037255,74.54479153962745,0.0,159.10520846037255,0.0,664.6438511006158,739.1886426402433,1.0,132215.4041443898,0.011633157730102539,2,0.0
297995,2014-01-01 07:00:00,48,24,234.341,152.59947769287874,9.115833333333333,-24.5725,75.0,100.0,0.0,75.0,100.0,0.0,75.0,59.34100000000001,739.1886426402433,839.1886426402433,1.0,132215.4041443898,0.011633157730102539,2,0.0
297996,2014-01-01 08:00:00,48,24,233.96,143.08369388493162,9.033333333333331,-13.248333333333337,75.0,100.0,0.0,75.0,100.0,0.0,75.0,58.96000000000001,839.1886426402433,939.1886426402433,1.0,132215.4041443898,0.011633157730102539,2,0.0
297997,2014-01-01 09:00:00,48,24,222.297,135.1923637472126,32.762499999999996,26.008,149.0,0.0,100.0,149.0,0.0,100.0,249.0,73.297,939.1886426402433,757.3704608220614,0.0,132215.4041443898,0.011633157730102539,2,0.0
