hour_index,datetime,horizon_hours,execution_step_hours,actual_generation_mw,forecast_generation_mw,actual_price,forecast_price,planned_direct_mw,planned_charge_mw,planned_discharge_mw,realized_direct_mw,realized_charge_mw,realized_discharge_mw,realized_delivered_mw,realized_curtailment_mw,soc_start_mwh,soc_end_mwh,mode_charge_binary,solver_objective,solver_runtime_seconds,solver_status,used_baseload_gate
297988,2014-01-01 00:00:00,48,24,233.728,233.728,17.794166666666666,17.794166666666666,249.0,0.0,0.0,233.728,0.0,0.0,233.728,0.0,600.0,600.0,1.0,72298.64082661331,0.006028890609741211,2,0.0
297989,2014-01-01 01:00:00,48,24,234.865,217.7076102317247,11.324999999999998,-24.87833333333333,75.0,100.0,0.0,75.0,100.0,0.0,75.0,59.86500000000001,600.0,700.0,1.0,72298.64082661331,0.006028890609741211,2,0.0
297990,2014-01-01 02:00:00,48,24,234.757,209.35644941272056,30.6575,21.846666666666664,242.75292139781496,0.0,0.0,234.757,0.0,0.0,234.757,0.0,700.0,700.0,0.0,72298.64082661331,0.006028890609741211,2,0.0
297991,2014-01-01 03:00:00,48,24,234.974,198.29246559916373,10.6075,-0.3183333333333333,75.0,100.0,0.0,75.0,100.0,0.0,75.0,59.97399999999999,700.0,800.0,1.0,72298.64082661331,0.006028890609741211,2,0.0
297992,2014-01-01 04:00:00,48,24,234.63,185.9005598513773,9.444166666666668,-0.7841666666666668,75.0,100.0,0.0,75.0,100.0,0.0,75.0,59.629999999999995,800.0,900.0,1.0,72298.64082661331,0.006028890609741211,2,0.0
297993,2014-01-01 05:00:00,48,24,233.969,174.46966869261814,25.319999999999997,22.66166666666666,164.95452734219802,0.0,84.04547265780198,164.95452734219802,0.0,84.04547265780198,249.0,69.01447265780197,900.0,747.1900497130873,0.0,72298.64082661331,0.006028890609741211,2,0.0
297994,2014-01-01 06:00:00,48,24,233.65,162.65582157270626,24.647499999999997,2.8783333333333325,75.0,97.60367255273385,0.0,75.0,97.60367255273385,0.0,75.0,61.04632744726615,747.1900497130873,844.7937222658212,1.0,72298.64082661331,0.006028890609741211,2,0.0
297995,2014-01-01 07:00:00,48,24,234.341,152.59947769287874,9.115833333333333,-24.5725,75.0,83.94548775994143,0.0,75.0,83.94548775994143,0.0,75.0,75.39551224005858,844.7937222658212,928.7392100257626,1.0,72298.64082661331,0.006028890609741211,2,0.0
297996,2014-01-01 08:00:00,48,24,233.96,143.08369388493162,9.033333333333331,-13.248333333333337,75.0,71.2607899742374,0.0,75.0,71.26078997423735,0.0,75.0,87.69921002576265,928.7392100257626,1000.0,1.0,72298.64082661331,0.006028890609741211,2,0.0
297997,2014-01-01 09:00:00,48,24,222.297,135.1923637472126,32.762499999999996,26.008,135.64913980827941,0.0,0.0,135.64913980827941,0.0,0.0,135.64913980827941,86.64786019172058,1000.0,1000.0,0.0,72298.64082661331,0.006028890609741211,2,0.0
297998,2014-01-01 10:00:00,48,24,198.914,129.09343634405295,23.656666666666663,33.2525,127.14557566129356,0.0,100.0,127.14557566129356,0.0,100.0,227.14557566129355,71.76842433870642,1000.0,818.1818181818182,0.0,72298.64082661331,0.006028890609741211,2,0.0
297999,2014-01-01 11:00:00,48,24,201.568,124.31514853234461,50.120000000000005,18.389999999999997,120.90243964577868,0.0,0.0,120.90243964577868,0.0,0.0,120.90243964577868,80.66556035422133,818.1818181818182,818.1818181818182,0.0,72298.64082661331,0.006028890609741211,2,0.0
298000,2014-01-01 12:00:00,48,24,214.83,118.06951479599383,16.534166666666664,27.013333333333335,114.95681104065997,0.0,0.0,114.95681104065997,0.0,0.0,114.95681104065997,99.87318895934004,818.1818181818182,818.1818181818182,0.0,72298.64082661331,0.006028890609741211,2,0.0
298001,2014-01-01 13:00:00,48,24,196.933,113.10801469798258,6.303333333333332,23.308333333333337,110.13092079127034,0.0,0.0,110.13092079127034,0.0,0.0,110.13092079127034,86.80207920872965,818.1818181818182,818.1818181818182,0.0,72298.64082661331,0.006028890609741211,2,0.0
298002,2014-01-01 14:00:00,48,24,167.938,108.67857278755379,25.37933333333333,13.395833333333334,75.0,31.879897626852,0.0,75.0,31.879897626852,0.0,75.0,61.05810237314799,818.1818181818182,850.0617158086702,1.0,72298.64082661331,0.006028890609741211,2,0.0
298003,2014-01-01 15:00:00,48,24,115.261,106.31260979982142,16.51666666666667,12.095833333333331,75.0,30.435373464781478,0.0,75.0,30.435373464781478,0.0,75.0,9.825626535218518,850.0617158086702,880.4970892734517,1.0,72298.64082661331,0.006028890609741211,2,0.0
298004,2014-01-01 16:00:00,48,24,102.374,106.22915660503944,28.986666666666665,16.7375,105.67125332188098,0.0,0.0,102.374,0.0,0.0,102.374,0.0,880.4970892734517,880.4970892734517,0.0,72298.64082661331,0.006028890609741211,2,0.0
298005,2014-01-01 17:00:00,48,24,47.77,109.2960055492594,14.36583333333333,14.833333333333334,75.0,33.04072901760712,0.0,14.729270982392883,33.04072901760712,0.0,14.729270982392883,0.0,880.4970892734517,913.5378182910588,1.0,72298.64082661331,0.006028890609741211,2,0.0
298006,2014-01-01 18:00:00,48,24,222.201,113.53703556177759,12.749166666666667,8.530833333333332,75.0,35.85318222971087,0.0,75.0,35.85318222971087,0.0,75.0,111.34781777028913,913.5378182910588,949.3910005207697,1.0,72298.64082661331,0.006028890609741211,2,0.0
298007,2014-01-01 19:00:00,48,24,234.84,117.12652749006051,17.753333333333334,29.306666666666672,112.7986427079182,0.0,56.5695965309954,112.7986427079182,0.0,56.5695965309954,169.3682392389136,122.0413572920818,949.3910005207697,846.5371886462326,0.0,72298.64082661331,0.006028890609741211,2,0.0
298008,2014-01-01 20:00:00,48,24,234.968,121.32303793710292,18.49,13.77,75.0,40.00738583350635,0.0,75.0,40.00738583350635,0.0,75.0,119.96061416649364,846.5371886462326,886.5445744797389,1.0,72298.64082661331,0.006028890609741211,2,0.0
298009,2014-01-01 21:00:00,48,24,234.825,125.82348597061673,50.70461538461538,21.7925,117.80919382524722,0.0,0.0,117.80919382524722,0.0,0.0,117.80919382524722,117.01580617475277,886.5445744797389,886.5445744797389,0.0,72298.64082661331,0.006028890609741211,2,0.0
298010,2014-01-01 22:00:00,48,24,234.979,125.81124077220892,37.67307692307692,19.761666666666667,117.0694477469514,0.0,0.0,117.0694477469514,0.0,0.0,117.0694477469514,117.90955225304862,886.5445744797389,886.5445744797389,0.0,72298.64082661331,0.006028890609741211,2,0.0
298011,2014-01-01 23:00:00,48,24,234.413,127.88267508184659,53.44666666666666,22.890833333333333,118.50915157266117,0.0,0.0,118.50915157266117,0.0,0.0,118.50915157266117,115.90384842733884,886.5445744797389,886.5445744797389,0.0,72298.64082661331,0.006028890609741211,2,0.0
298012,2014-01-02 00:00:00,48,24,215.003,215.003,33.910833333333336,33.910833333333336,215.003,0.0,33.997000000000014,215.003,0.0,33.997000000000014,249.0,0.0,886.5445744797389,824.7318472070116,0.0,89573.27922236786,0.0064868927001953125,2,0.0
298013,2014-01-02 01:00:00,48,24,204.668,214.35403561870905,25.8875,11.324999999999998,157.6451034347583,100.0,0.0,104.668,100.0,0.0,104.668,0.0,824.7318472070116,924.7318472070116,1.0,89573.27922236786,0.0064868927001953125,2,0.0
298014,2014-01-02 02:00:00,48,24,188.827,205.5729106408456,15.5325,30.6575,163.96938262594,0.0,85.03061737406,163.96938262594,0.0,85.03061737406,249.0,24.85761737406,924.7318472070116,770.1307247087207,0.0,89573.27922236786,0.0064868927001953125,2,0.0
