year,horizon_hours,hours,revenue_metric,baseload_revenue_metric,cove,baseload_cove,improvement_vs_baseload_pct
2014,24,8759,513232.6263810183,470223.5931593524,101.11598977239018,110.36457071692092,8.38002710874747
2014,48,8759,516639.19529656955,470223.5931593524,100.44926028155841,110.36457071692092,8.984142620184462
2014,72,8759,516354.41807560174,470223.5931593524,100.5046595580822,110.36457071692092,8.933946007119314
2014,168,8759,515682.53163056774,470223.5931593524,100.63560779518131,110.36457071692092,8.815295396467281
2015,24,8748,1239569.8684413047,1102794.4259796503,41.86615560868431,47.058657332166845,11.03410513145519
2015,48,8748,1341353.0277205254,1102794.4259796503,38.68931140983169,47.058657332166845,17.78492289582242
2015,72,8748,1339490.7191550615,1102794.4259796503,38.743101581723195,47.058657332166845,17.670618376864674
2015,168,8748,1308878.8367891894,1102794.4259796503,39.64922003575681,47.058657332166845,15.74510986174127
2016,24,8783,739774.7898033143,673180.6375554239,70.15111317026324,77.09078678860149,9.001949399437619
2016,48,8783,758400.0540806148,673180.6375554239,68.4282981267874,77.09078678860149,11.236736609743508
2016,72,8783,759561.7734480329,673180.6375554239,68.32363978036683,77.09078678860149,11.372496472601773
2016,168,8783,757261.6560161812,673180.6375554239,68.53116698528716,77.09078678860149,11.103298020276457
2017,24,8759,684407.1026751245,644209.9502694525,75.82625135998053,80.55762718084927,5.87328101192324
2017,48,8759,707315.1548822498,644209.9502694525,73.37044122664018,80.55762718084927,8.921794503795507
2017,72,8759,705549.033881568,644209.9502694525,73.55410114375007,80.55762718084927,8.693808745603322
2017,168,8759,702534.7323082979,644209.9502694525,73.86969300362809,80.55762718084927,8.302049615000433
2018,24,8759,482573.3569748516,441186.5422229462,107.5401786068858,117.62830465888331,8.576274291508842
2018,48,8759,485812.7295613034,441186.5422229462,106.8231066050141,117.62830465888331,9.185882671015095
2018,72,8759,485159.36481932754,441186.5422229462,106.96696542037478,117.62830465888331,9.063583182148147
2018,168,8759,484591.0313593085,441186.5422229462,107.09241740283217,117.62830465888331,8.956931995751132
2019,24,8759,1200168.0760981021,1061756.1755411224,43.24063106954196,48.87753534708783,11.532709735704215
2019,48,8759,1250386.590144802,1061756.1755411224,41.50398397506018,48.87753534708783,15.085767561041663
2019,72,8759,1250872.0952124556,1061756.1755411224,41.48787489834096,48.87753534708783,15.118725599135901
2019,168,8759,1245683.1063992693,1061756.1755411224,41.660695832994755,48.87753534708783,14.765146120492878
2020,24,8783,746000.417281751,672523.2595953245,69.56567824599459,77.16614148219534,9.849479435167066
2020,48,8783,753540.5104682345,672523.2595953245,68.86958866717448,77.16614148219534,10.751545503846573
2020,72,8783,750406.2291737854,672523.2595953245,69.1572417477647,77.16614148219534,10.37877439586447
2020,168,8783,749737.6020012381,672523.2595953245,69.21891720713549,77.16614148219534,10.29884885055906
2021,24,8759,679411.7881729491,611427.047277679,76.38375710194404,84.87688798044205,10.006411734199135
2021,48,8759,692714.1359234622,611427.047277679,74.91694237019868,84.87688798044205,11.734579161924987
2021,72,8759,693433.6372879134,611427.047277679,74.83920913177852,84.87688798044205,11.826162678085566
2021,168,8759,694321.2082337188,611427.047277679,74.74353999932987,84.87688798044205,11.938877852646035
2022,24,8759,451219.6183929414,420617.15782881924,115.01278509306019,123.38066584796904,6.782165339600164
2022,48,8759,451604.7584795277,420617.15782881924,114.91469924879581,123.38066584796904,6.861663892789395
2022,72,8759,450299.64050841646,420617.15782881924,115.2477602278477,123.38066584796904,6.59171804936017
2022,168,8759,447440.09012604185,420617.15782881924,115.98429855800612,123.38066584796904,5.994753909884719
