,date,hour,minute,lmp
0,03/15/2018 ,03,35,1.4
1,08/04/2018 ,18,00,27.85
2,10/12/2018 ,02,55,19.88
3,12/11/2018 ,17,55,33.67
4,02/07/2018 ,17,40,21.43
5,05/15/2018 ,23,15,15.8
6,07/02/2018 ,04,00,18.58
7,06/24/2018 ,08,10,16.21
8,09/17/2018 ,19,30,75.01
9,09/28/2018 ,21,35,19.74
10,04/24/2018 ,01,35,3.79
11,01/13/2018 ,16,15,18.89
12,12/08/2018 ,06,25,33.09
13,12/07/2018 ,07,05,37.2
14,06/08/2018 ,02,55,12.03
15,07/15/2018 ,17,00,39.03
16,10/26/2018 ,20,45,26.34
17,02/09/2018 ,17,05,19.76
18,10/20/2018 ,09,05,21.87
19,01/25/2018 ,18,30,26.42
20,03/18/2018 ,12,50,20.33
21,08/31/2018 ,20,55,27.27
22,05/29/2018 ,17,35,38.68
23,02/11/2018 ,13,20,23.48
24,07/10/2018 ,18,20,27.54
25,09/23/2018 ,17,50,22.25
26,11/26/2018 ,01,05,27.65
27,03/23/2018 ,03,50,-0.88
28,12/03/2018 ,22,45,22.57
29,09/28/2018 ,16,15,24.01
30,09/14/2018 ,21,10,22.34
31,11/18/2018 ,12,05,56.62
32,05/10/2018 ,21,30,-0.37
33,09/30/2018 ,07,20,19.28
34,07/24/2018 ,21,00,35.46
35,02/07/2018 ,18,40,26.34
36,07/30/2018 ,14,50,44.14
37,10/01/2018 ,14,10,35.06
38,04/02/2018 ,16,35,20.6
39,05/05/2018 ,06,40,17.86
40,03/05/2018 ,13,25,19.02
41,11/09/2018 ,04,05,19.15
42,08/16/2018 ,00,30,19.78
43,04/19/2018 ,01,35,18.31
44,10/25/2018 ,03,55,21.75
45,08/03/2018 ,07,55,17.74
46,12/21/2018 ,17,50,21.37
47,01/03/2018 ,04,20,35.87
48,02/18/2018 ,04,55,15.92
49,09/22/2018 ,21,55,19.14
50,03/17/2018 ,00,15,18.47
51,01/21/2018 ,18,15,19.11
52,09/22/2018 ,15,50,16.93
53,10/09/2018 ,03,40,20.87
54,01/16/2018 ,23,50,39.52
55,07/08/2018 ,14,50,29.76
56,01/21/2018 ,15,10,4.14
57,06/12/2018 ,19,15,26.63
58,06/21/2018 ,05,15,19.53
59,01/20/2018 ,21,30,4.57
60,03/05/2018 ,21,35,21.47
61,05/31/2018 ,05,05,16.67
62,06/24/2018 ,00,45,18.0
63,12/21/2018 ,09,10,32.67
64,08/05/2018 ,09,55,16.63
65,10/22/2018 ,07,20,29.58
