Date,Time,Power
20180101,0,106.861
20180101,100,97.278
20180101,200,94.38
20180101,300,84.472
20180101,400,72.284
20180101,500,63.221
20180101,600,66.412
20180101,700,58.74
20180101,800,49.461
20180101,900,35.966
20180101,1000,32.446
20180101,1100,20.993
20180101,1200,5.194
20180101,1300,3.424
20180101,1400,0.249
20180101,1500,0.091
20180101,1600,0.005
20180101,1700,0.022
20180101,1800,0.038
20180101,1900,0.361
20180101,2000,0.521
20180101,2100,0.585
20180101,2200,1.362
20180101,2300,3.211
20180102,0,5.433
20180102,100,3.62
20180102,200,1.684
20180102,300,2.16
20180102,400,1.567
20180102,500,0.864
20180102,600,0.418
20180102,700,0.16
20180102,800,0.017
20180102,900,0
20180102,1000,0
20180102,1100,0
20180102,1200,0.058
20180102,1300,1.225
20180102,1400,4.207
20180102,1500,6.03
20180102,1600,0.201
20180102,1700,0.081
20180102,1800,0.112
20180102,1900,0
20180102,2000,0
20180102,2100,0
20180102,2200,5.403
20180102,2300,9.404
20180103,0,25.82
20180103,100,39.794
20180103,200,41.633
20180103,300,115.387
20180103,400,155.766
20180103,500,170.412
20180103,600,144.383
20180103,700,138.798
20180103,800,134.615
20180103,900,112.521
20180103,1000,47.304
20180103,1100,5.052
20180103,1200,1.981
20180103,1300,0.591
20180103,1400,0.589
20180103,1500,0
20180103,1600,0
20180103,1700,0
20180103,1800,0
20180103,1900,0.044
20180103,2000,0.254
20180103,2100,4.24
20180103,2200,24.888
20180103,2300,41.836
20180104,0,44.18
20180104,100,43.738
20180104,200,48.304
20180104,300,54.03
20180104,400,46.698
20180104,500,54.372
20180104,600,72.982
20180104,700,82.878
20180104,800,95.587
20180104,900,92.072
20180104,1000,75.149
20180104,1100,52.623
20180104,1200,66.856
20180104,1300,50.894
20180104,1400,46.792
20180104,1500,42.578
20180104,1600,44.831
20180104,1700,52.007
20180104,1800,65.988
20180104,1900,79.253
20180104,2000,95.311
20180104,2100,81.689
20180104,2200,96.691
20180104,2300,70.833
20180105,0,83.505
20180105,100,101.648
20180105,200,114.2
20180105,300,110.007
20180105,400,92.271
20180105,500,96.426
20180105,600,102.173
20180105,700,102.464
20180105,800,94.098
20180105,900,80.217
20180105,1000,41.42
20180105,1100,41.612
20180105,1200,32.929
20180105,1300,8.39
20180105,1400,14.039
20180105,1500,11.321
20180105,1600,7.242
20180105,1700,1.862
20180105,1800,0
20180105,1900,0.509
20180105,2000,1.786
20180105,2100,5.528
20180105,2200,17.384
20180105,2300,32.292
20180106,0,38.718
20180106,100,45.356
20180106,200,46.531
20180106,300,42.136
20180106,400,45.485
20180106,500,52.597
20180106,600,47.781
20180106,700,39.546
20180106,800,30.234
20180106,900,19.413
20180106,1000,21.343
20180106,1100,19.609
20180106,1200,19.862
20180106,1300,23.635
20180106,1400,36.657
20180106,1500,48.858
20180106,1600,60.226
20180106,1700,90.392
20180106,1800,106.43
20180106,1900,123.289
20180106,2000,130.78
20180106,2100,134.955
20180106,2200,134.991
20180106,2300,134.977
20180107,0,134.917
20180107,100,134.964
20180107,200,134.969
20180107,300,134.977
20180107,400,134.974
20180107,500,134.98
20180107,600,135.036
20180107,700,135.046
20180107,800,134.533
20180107,900,134.025
20180107,1000,132.672
20180107,1100,106.104
20180107,1200,150.732
20180107,1300,162.577
20180107,1400,123.384
20180107,1500,43.27
20180107,1600,234.148
20180107,1700,113.345
20180107,1800,155.863
20180107,1900,120.834
20180107,2000,81.961
20180107,2100,96.541
20180107,2200,121.384
20180107,2300,191.558
20180108,0,176.822
20180108,100,170.389
20180108,200,129.381
20180108,300,97.904
20180108,400,69.723
20180108,500,58.299
20180108,600,47.391
20180108,700,40.96
20180108,800,25.191
20180108,900,10.357
20180108,1000,0.692
20180108,1100,0
20180108,1200,0
20180108,1300,0
20180108,1400,0
20180108,1500,0
20180108,1600,0
20180108,1700,0
20180108,1800,0.35
20180108,1900,6.28
20180108,2000,23.646
20180108,2100,43.331
20180108,2200,58.813
20180108,2300,80.431
20180109,0,110.934
20180109,100,166.907
20180109,200,199.53
20180109,300,215.833
20180109,400,223.942
20180109,500,226.477
20180109,600,234.231
20180109,700,233.529
20180109,800,224.24
20180109,900,172.007
20180109,1000,104.962
20180109,1100,99.102
20180109,1200,112.981
20180109,1300,114.536
20180109,1400,135.48
