,ACTUAL_LZ_WEST,datetime
30912,10827.38,2020-01-01 01:00:00
30913,11527.36,2020-01-01 02:00:00
30914,12100.85,2020-01-01 03:00:00
30915,12780.48,2020-01-01 04:00:00
30916,13064.8,2020-01-01 05:00:00
30917,12799.33,2020-01-01 06:00:00
30918,12549.28,2020-01-01 07:00:00
30919,12694.41,2020-01-01 08:00:00
30920,12996.05,2020-01-01 09:00:00
30921,12816.85,2020-01-01 10:00:00
30922,12948.99,2020-01-01 11:00:00
30923,13131.03,2020-01-01 12:00:00
30924,12887.52,2020-01-01 13:00:00
30925,12601.37,2020-01-01 14:00:00
30926,12705.38,2020-01-01 15:00:00
30927,12613.11,2020-01-01 16:00:00
30928,12747.21,2020-01-01 17:00:00
30929,13205.14,2020-01-01 18:00:00
30930,14335.97,2020-01-01 19:00:00
30931,15020.06,2020-01-01 20:00:00
30932,14743.21,2020-01-01 21:00:00
30933,14425.25,2020-01-01 22:00:00
30934,13870.9,2020-01-01 23:00:00
86391,13095.39,2020-01-01 24:00:00
86392,12838.89,2020-01-02 01:00:00
86393,13160.36,2020-01-02 02:00:00
86394,13189.46,2020-01-02 03:00:00
86395,13312.18,2020-01-02 04:00:00
86396,12985.4,2020-01-02 05:00:00
86397,12379.97,2020-01-02 06:00:00
86398,11946.35,2020-01-02 07:00:00
86399,11553.86,2020-01-02 08:00:00
86400,10594.1,2020-01-02 09:00:00
86401,8847.38,2020-01-02 10:00:00
86402,8655.9,2020-01-02 11:00:00
86403,8599.26,2020-01-02 12:00:00
86404,7969.0,2020-01-02 13:00:00
86405,7552.04,2020-01-02 14:00:00
86406,8485.12,2020-01-02 15:00:00
86407,9222.85,2020-01-02 16:00:00
86408,7575.28,2020-01-02 17:00:00
86409,6108.18,2020-01-02 18:00:00
86410,6243.37,2020-01-02 19:00:00
86411,7136.47,2020-01-02 20:00:00
86412,7373.51,2020-01-02 21:00:00
86413,8366.64,2020-01-02 22:00:00
86414,8957.47,2020-01-02 23:00:00
86415,9248.17,2020-01-02 24:00:00
86416,8947.16,2020-01-03 01:00:00
86417,8603.53,2020-01-03 02:00:00
86418,8712.87,2020-01-03 03:00:00
86419,8609.85,2020-01-03 04:00:00
86420,8509.61,2020-01-03 05:00:00
86421,7886.33,2020-01-03 06:00:00
