year,project_rows,raw_missing_dam_lz_west_rows_interpolated,raw_missing_dam_hb_west_rows_interpolated,remaining_missing_dam_lz_west_rows,remaining_missing_dam_hb_west_rows,rtm_lmp_min,rtm_lmp_max,dam_lz_west_min,dam_lz_west_max,dam_hb_west_min,dam_hb_west_max
2014,8759,1,1,0,0,-26.1575,835.4491666666667,5.08,1340.35,5.03,1335.71
2015,8748,1,1,0,0,-31.655625,9151.050588235295,-2.66,2252.95,-2.55,2236.95
2016,8783,1,1,0,0,-17.232499999999998,2793.0475,-0.86,285.76,-0.61,273.75
2017,8759,1,1,0,0,-24.87833333333333,5290.1030769230765,-3.67,240.72,-4.3,233.81
2018,8759,1,1,0,0,-26.1575,835.4491666666667,-3.54,2151.82,-5.98,2066.82
2019,8759,1,1,0,0,-31.655625,9151.050588235295,0.44,5015.25,-1.42,5010.39
2020,8783,1,1,0,0,-17.232499999999998,2793.0475,-5.68,2015.61,-7.2,2014.95
2021,8759,1,1,0,0,-24.87833333333333,5290.1030769230765,-10.94,9026.99,-13.41,9000.01
2022,8759,1,1,0,0,-26.1575,835.4491666666667,-7.63,2578.2,-9.23,2559.84
2023,8716,1,1,0,0,-31.655625,9151.050588235295,-6.01,4214.18,-9.62,4207.43
