datetime,year,Location,Location Type,Market,SPP
2014-01-01 00:00:00,2014,HB_WEST,Trading Hub,DAY_AHEAD_HOURLY,27.98
2014-01-01 00:00:00,2014,LZ_WEST,Load Zone,DAY_AHEAD_HOURLY,27.85
2014-01-01 01:00:00,2014,HB_WEST,Trading Hub,DAY_AHEAD_HOURLY,24.9
2014-01-01 01:00:00,2014,LZ_WEST,Load Zone,DAY_AHEAD_HOURLY,24.9
2014-01-01 02:00:00,2014,HB_WEST,Trading Hub,DAY_AHEAD_HOURLY,24.79
2014-01-01 02:00:00,2014,LZ_WEST,Load Zone,DAY_AHEAD_HOURLY,24.77
2014-01-01 03:00:00,2014,HB_WEST,Trading Hub,DAY_AHEAD_HOURLY,24.8
2014-01-01 03:00:00,2014,LZ_WEST,Load Zone,DAY_AHEAD_HOURLY,24.78
2014-01-01 04:00:00,2014,HB_WEST,Trading Hub,DAY_AHEAD_HOURLY,24.96
2014-01-01 04:00:00,2014,LZ_WEST,Load Zone,DAY_AHEAD_HOURLY,24.95
2014-01-01 05:00:00,2014,HB_WEST,Trading Hub,DAY_AHEAD_HOURLY,27.1
2014-01-01 05:00:00,2014,LZ_WEST,Load Zone,DAY_AHEAD_HOURLY,27.13
2014-01-01 06:00:00,2014,HB_WEST,Trading Hub,DAY_AHEAD_HOURLY,36.16
2014-01-01 06:00:00,2014,LZ_WEST,Load Zone,DAY_AHEAD_HOURLY,36.09
2014-01-01 07:00:00,2014,HB_WEST,Trading Hub,DAY_AHEAD_HOURLY,38.16
2014-01-01 07:00:00,2014,LZ_WEST,Load Zone,DAY_AHEAD_HOURLY,38.06
2014-01-01 08:00:00,2014,HB_WEST,Trading Hub,DAY_AHEAD_HOURLY,40.22
2014-01-01 08:00:00,2014,LZ_WEST,Load Zone,DAY_AHEAD_HOURLY,40.26
2014-01-01 09:00:00,2014,HB_WEST,Trading Hub,DAY_AHEAD_HOURLY,34.79
2014-01-01 09:00:00,2014,LZ_WEST,Load Zone,DAY_AHEAD_HOURLY,34.81
2014-01-01 10:00:00,2014,HB_WEST,Trading Hub,DAY_AHEAD_HOURLY,30.25
2014-01-01 10:00:00,2014,LZ_WEST,Load Zone,DAY_AHEAD_HOURLY,30.26
2014-01-01 11:00:00,2014,HB_WEST,Trading Hub,DAY_AHEAD_HOURLY,27.16
2014-01-01 11:00:00,2014,LZ_WEST,Load Zone,DAY_AHEAD_HOURLY,27.18
2014-01-01 12:00:00,2014,HB_WEST,Trading Hub,DAY_AHEAD_HOURLY,25.08
2014-01-01 12:00:00,2014,LZ_WEST,Load Zone,DAY_AHEAD_HOURLY,25.1
2014-01-01 13:00:00,2014,HB_WEST,Trading Hub,DAY_AHEAD_HOURLY,25.08
2014-01-01 13:00:00,2014,LZ_WEST,Load Zone,DAY_AHEAD_HOURLY,25.1
2014-01-01 14:00:00,2014,HB_WEST,Trading Hub,DAY_AHEAD_HOURLY,24.94
2014-01-01 14:00:00,2014,LZ_WEST,Load Zone,DAY_AHEAD_HOURLY,24.95
2014-01-01 15:00:00,2014,HB_WEST,Trading Hub,DAY_AHEAD_HOURLY,24.94
2014-01-01 15:00:00,2014,LZ_WEST,Load Zone,DAY_AHEAD_HOURLY,24.95
2014-01-01 16:00:00,2014,HB_WEST,Trading Hub,DAY_AHEAD_HOURLY,25.01
2014-01-01 16:00:00,2014,LZ_WEST,Load Zone,DAY_AHEAD_HOURLY,25.02
2014-01-01 17:00:00,2014,HB_WEST,Trading Hub,DAY_AHEAD_HOURLY,36.18
2014-01-01 17:00:00,2014,LZ_WEST,Load Zone,DAY_AHEAD_HOURLY,36.2
2014-01-01 18:00:00,2014,HB_WEST,Trading Hub,DAY_AHEAD_HOURLY,37.01
2014-01-01 18:00:00,2014,LZ_WEST,Load Zone,DAY_AHEAD_HOURLY,37.03
2014-01-01 19:00:00,2014,HB_WEST,Trading Hub,DAY_AHEAD_HOURLY,31.27
2014-01-01 19:00:00,2014,LZ_WEST,Load Zone,DAY_AHEAD_HOURLY,31.29
2014-01-01 20:00:00,2014,HB_WEST,Trading Hub,DAY_AHEAD_HOURLY,28.79
2014-01-01 20:00:00,2014,LZ_WEST,Load Zone,DAY_AHEAD_HOURLY,28.67
2014-01-01 21:00:00,2014,HB_WEST,Trading Hub,DAY_AHEAD_HOURLY,27.06
2014-01-01 21:00:00,2014,LZ_WEST,Load Zone,DAY_AHEAD_HOURLY,26.95
2014-01-01 22:00:00,2014,HB_WEST,Trading Hub,DAY_AHEAD_HOURLY,24.82
2014-01-01 22:00:00,2014,LZ_WEST,Load Zone,DAY_AHEAD_HOURLY,24.82
2014-01-01 23:00:00,2014,HB_WEST,Trading Hub,DAY_AHEAD_HOURLY,22.88
2014-01-01 23:00:00,2014,LZ_WEST,Load Zone,DAY_AHEAD_HOURLY,22.86
2014-01-02 00:00:00,2014,HB_WEST,Trading Hub,DAY_AHEAD_HOURLY,24.5
2014-01-02 00:00:00,2014,LZ_WEST,Load Zone,DAY_AHEAD_HOURLY,24.55
2014-01-02 01:00:00,2014,HB_WEST,Trading Hub,DAY_AHEAD_HOURLY,23.51
2014-01-02 01:00:00,2014,LZ_WEST,Load Zone,DAY_AHEAD_HOURLY,23.56
2014-01-02 02:00:00,2014,HB_WEST,Trading Hub,DAY_AHEAD_HOURLY,23.51
2014-01-02 02:00:00,2014,LZ_WEST,Load Zone,DAY_AHEAD_HOURLY,23.56
2014-01-02 03:00:00,2014,HB_WEST,Trading Hub,DAY_AHEAD_HOURLY,24.51
2014-01-02 03:00:00,2014,LZ_WEST,Load Zone,DAY_AHEAD_HOURLY,24.55
2014-01-02 04:00:00,2014,HB_WEST,Trading Hub,DAY_AHEAD_HOURLY,25.89
2014-01-02 04:00:00,2014,LZ_WEST,Load Zone,DAY_AHEAD_HOURLY,25.93
2014-01-02 05:00:00,2014,HB_WEST,Trading Hub,DAY_AHEAD_HOURLY,32.27
2014-01-02 05:00:00,2014,LZ_WEST,Load Zone,DAY_AHEAD_HOURLY,32.64
2014-01-02 06:00:00,2014,HB_WEST,Trading Hub,DAY_AHEAD_HOURLY,44.58
2014-01-02 06:00:00,2014,LZ_WEST,Load Zone,DAY_AHEAD_HOURLY,44.97
2014-01-02 07:00:00,2014,HB_WEST,Trading Hub,DAY_AHEAD_HOURLY,46.67
2014-01-02 07:00:00,2014,LZ_WEST,Load Zone,DAY_AHEAD_HOURLY,46.98
2014-01-02 08:00:00,2014,HB_WEST,Trading Hub,DAY_AHEAD_HOURLY,40.14
