interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,location,lmp
2022-01-01T00:00:00-06:00,2022-01-01 06:00:00+00:00,2022-01-01T01:00:00-06:00,2022-01-01 07:00:00+00:00,PYR_PYRON1,67.9238461538461
2022-01-01T01:00:00-06:00,2022-01-01 07:00:00+00:00,2022-01-01T02:00:00-06:00,2022-01-01 08:00:00+00:00,PYR_PYRON1,32.6783333333333
2022-01-01T02:00:00-06:00,2022-01-01 08:00:00+00:00,2022-01-01T03:00:00-06:00,2022-01-01 09:00:00+00:00,PYR_PYRON1,25.9041666666667
2022-01-01T03:00:00-06:00,2022-01-01 09:00:00+00:00,2022-01-01T04:00:00-06:00,2022-01-01 10:00:00+00:00,PYR_PYRON1,22.5566666666667
2022-01-01T04:00:00-06:00,2022-01-01 10:00:00+00:00,2022-01-01T05:00:00-06:00,2022-01-01 11:00:00+00:00,PYR_PYRON1,16.0883333333333
2022-01-01T05:00:00-06:00,2022-01-01 11:00:00+00:00,2022-01-01T06:00:00-06:00,2022-01-01 12:00:00+00:00,PYR_PYRON1,13.5541666666667
2022-01-01T06:00:00-06:00,2022-01-01 12:00:00+00:00,2022-01-01T07:00:00-06:00,2022-01-01 13:00:00+00:00,PYR_PYRON1,11.5458333333333
2022-01-01T07:00:00-06:00,2022-01-01 13:00:00+00:00,2022-01-01T08:00:00-06:00,2022-01-01 14:00:00+00:00,PYR_PYRON1,11.1908333333333
2022-01-01T08:00:00-06:00,2022-01-01 14:00:00+00:00,2022-01-01T09:00:00-06:00,2022-01-01 15:00:00+00:00,PYR_PYRON1,10.2533333333333
2022-01-01T09:00:00-06:00,2022-01-01 15:00:00+00:00,2022-01-01T10:00:00-06:00,2022-01-01 16:00:00+00:00,PYR_PYRON1,-0.0733333333333333
2022-01-01T10:00:00-06:00,2022-01-01 16:00:00+00:00,2022-01-01T11:00:00-06:00,2022-01-01 17:00:00+00:00,PYR_PYRON1,-1.22416666666667
2022-01-01T11:00:00-06:00,2022-01-01 17:00:00+00:00,2022-01-01T12:00:00-06:00,2022-01-01 18:00:00+00:00,PYR_PYRON1,-1.87666666666667
2022-01-01T12:00:00-06:00,2022-01-01 18:00:00+00:00,2022-01-01T13:00:00-06:00,2022-01-01 19:00:00+00:00,PYR_PYRON1,-0.798461538461538
2022-01-01T13:00:00-06:00,2022-01-01 19:00:00+00:00,2022-01-01T14:00:00-06:00,2022-01-01 20:00:00+00:00,PYR_PYRON1,-0.141666666666667
2022-01-01T14:00:00-06:00,2022-01-01 20:00:00+00:00,2022-01-01T15:00:00-06:00,2022-01-01 21:00:00+00:00,PYR_PYRON1,0.4525
2022-01-01T15:00:00-06:00,2022-01-01 21:00:00+00:00,2022-01-01T16:00:00-06:00,2022-01-01 22:00:00+00:00,PYR_PYRON1,0.539166666666667
2022-01-01T16:00:00-06:00,2022-01-01 22:00:00+00:00,2022-01-01T17:00:00-06:00,2022-01-01 23:00:00+00:00,PYR_PYRON1,0.05
2022-01-01T17:00:00-06:00,2022-01-01 23:00:00+00:00,2022-01-01T18:00:00-06:00,2022-01-02 00:00:00+00:00,PYR_PYRON1,-0.7425
2022-01-01T18:00:00-06:00,2022-01-02 00:00:00+00:00,2022-01-01T19:00:00-06:00,2022-01-02 01:00:00+00:00,PYR_PYRON1,-3.54416666666667
2022-01-01T19:00:00-06:00,2022-01-02 01:00:00+00:00,2022-01-01T20:00:00-06:00,2022-01-02 02:00:00+00:00,PYR_PYRON1,-4.62916666666667
2022-01-01T20:00:00-06:00,2022-01-02 02:00:00+00:00,2022-01-01T21:00:00-06:00,2022-01-02 03:00:00+00:00,PYR_PYRON1,-4.91916666666667
2022-01-01T21:00:00-06:00,2022-01-02 03:00:00+00:00,2022-01-01T22:00:00-06:00,2022-01-02 04:00:00+00:00,PYR_PYRON1,-3.95416666666667
2022-01-01T22:00:00-06:00,2022-01-02 04:00:00+00:00,2022-01-01T23:00:00-06:00,2022-01-02 05:00:00+00:00,PYR_PYRON1,-1.34
2022-01-01T23:00:00-06:00,2022-01-02 05:00:00+00:00,2022-01-02T00:00:00-06:00,2022-01-02 06:00:00+00:00,PYR_PYRON1,4.77583333333333
2022-01-02T00:00:00-06:00,2022-01-02 06:00:00+00:00,2022-01-02T01:00:00-06:00,2022-01-02 07:00:00+00:00,PYR_PYRON1,6.845
2022-01-02T01:00:00-06:00,2022-01-02 07:00:00+00:00,2022-01-02T02:00:00-06:00,2022-01-02 08:00:00+00:00,PYR_PYRON1,7.2525
2022-01-02T02:00:00-06:00,2022-01-02 08:00:00+00:00,2022-01-02T03:00:00-06:00,2022-01-02 09:00:00+00:00,PYR_PYRON1,6.61
2022-01-02T03:00:00-06:00,2022-01-02 09:00:00+00:00,2022-01-02T04:00:00-06:00,2022-01-02 10:00:00+00:00,PYR_PYRON1,9.00333333333333
2022-01-02T04:00:00-06:00,2022-01-02 10:00:00+00:00,2022-01-02T05:00:00-06:00,2022-01-02 11:00:00+00:00,PYR_PYRON1,11.1907692307692
2022-01-02T05:00:00-06:00,2022-01-02 11:00:00+00:00,2022-01-02T06:00:00-06:00,2022-01-02 12:00:00+00:00,PYR_PYRON1,18.7225
2022-01-02T06:00:00-06:00,2022-01-02 12:00:00+00:00,2022-01-02T07:00:00-06:00,2022-01-02 13:00:00+00:00,PYR_PYRON1,20.18
2022-01-02T07:00:00-06:00,2022-01-02 13:00:00+00:00,2022-01-02T08:00:00-06:00,2022-01-02 14:00:00+00:00,PYR_PYRON1,23.1233333333333
2022-01-02T08:00:00-06:00,2022-01-02 14:00:00+00:00,2022-01-02T09:00:00-06:00,2022-01-02 15:00:00+00:00,PYR_PYRON1,22.88
2022-01-02T09:00:00-06:00,2022-01-02 15:00:00+00:00,2022-01-02T10:00:00-06:00,2022-01-02 16:00:00+00:00,PYR_PYRON1,20.8333333333333
2022-01-02T10:00:00-06:00,2022-01-02 16:00:00+00:00,2022-01-02T11:00:00-06:00,2022-01-02 17:00:00+00:00,PYR_PYRON1,25.2366666666667
2022-01-02T11:00:00-06:00,2022-01-02 17:00:00+00:00,2022-01-02T12:00:00-06:00,2022-01-02 18:00:00+00:00,PYR_PYRON1,27.1791666666667
2022-01-02T12:00:00-06:00,2022-01-02 18:00:00+00:00,2022-01-02T13:00:00-06:00,2022-01-02 19:00:00+00:00,PYR_PYRON1,23.0883333333333
2022-01-02T13:00:00-06:00,2022-01-02 19:00:00+00:00,2022-01-02T14:00:00-06:00,2022-01-02 20:00:00+00:00,PYR_PYRON1,22.4408333333333
2022-01-02T14:00:00-06:00,2022-01-02 20:00:00+00:00,2022-01-02T15:00:00-06:00,2022-01-02 21:00:00+00:00,PYR_PYRON1,20.7608333333333
2022-01-02T15:00:00-06:00,2022-01-02 21:00:00+00:00,2022-01-02T16:00:00-06:00,2022-01-02 22:00:00+00:00,PYR_PYRON1,20.0591666666667
2022-01-02T16:00:00-06:00,2022-01-02 22:00:00+00:00,2022-01-02T17:00:00-06:00,2022-01-02 23:00:00+00:00,PYR_PYRON1,22.8241666666667
2022-01-02T17:00:00-06:00,2022-01-02 23:00:00+00:00,2022-01-02T18:00:00-06:00,2022-01-03 00:00:00+00:00,PYR_PYRON1,36.0408333333333
2022-01-02T18:00:00-06:00,2022-01-03 00:00:00+00:00,2022-01-02T19:00:00-06:00,2022-01-03 01:00:00+00:00,PYR_PYRON1,38.4341666666667
2022-01-02T19:00:00-06:00,2022-01-03 01:00:00+00:00,2022-01-02T20:00:00-06:00,2022-01-03 02:00:00+00:00,PYR_PYRON1,38.4341666666667
2022-01-02T20:00:00-06:00,2022-01-03 02:00:00+00:00,2022-01-02T21:00:00-06:00,2022-01-03 03:00:00+00:00,PYR_PYRON1,38.105
2022-01-02T21:00:00-06:00,2022-01-03 03:00:00+00:00,2022-01-02T22:00:00-06:00,2022-01-03 04:00:00+00:00,PYR_PYRON1,37.2483333333333
2022-01-02T22:00:00-06:00,2022-01-03 04:00:00+00:00,2022-01-02T23:00:00-06:00,2022-01-03 05:00:00+00:00,PYR_PYRON1,34.4041666666667
2022-01-02T23:00:00-06:00,2022-01-03 05:00:00+00:00,2022-01-03T00:00:00-06:00,2022-01-03 06:00:00+00:00,PYR_PYRON1,34.8216666666667
2022-01-03T00:00:00-06:00,2022-01-03 06:00:00+00:00,2022-01-03T01:00:00-06:00,2022-01-03 07:00:00+00:00,PYR_PYRON1,35.0116666666667
2022-01-03T01:00:00-06:00,2022-01-03 07:00:00+00:00,2022-01-03T02:00:00-06:00,2022-01-03 08:00:00+00:00,PYR_PYRON1,34.9241666666667
2022-01-03T02:00:00-06:00,2022-01-03 08:00:00+00:00,2022-01-03T03:00:00-06:00,2022-01-03 09:00:00+00:00,PYR_PYRON1,35.695
2022-01-03T03:00:00-06:00,2022-01-03 09:00:00+00:00,2022-01-03T04:00:00-06:00,2022-01-03 10:00:00+00:00,PYR_PYRON1,36.3783333333333
2022-01-03T04:00:00-06:00,2022-01-03 10:00:00+00:00,2022-01-03T05:00:00-06:00,2022-01-03 11:00:00+00:00,PYR_PYRON1,37.1033333333333
2022-01-03T05:00:00-06:00,2022-01-03 11:00:00+00:00,2022-01-03T06:00:00-06:00,2022-01-03 12:00:00+00:00,PYR_PYRON1,37.2216666666667
2022-01-03T06:00:00-06:00,2022-01-03 12:00:00+00:00,2022-01-03T07:00:00-06:00,2022-01-03 13:00:00+00:00,PYR_PYRON1,53.045
2022-01-03T07:00:00-06:00,2022-01-03 13:00:00+00:00,2022-01-03T08:00:00-06:00,2022-01-03 14:00:00+00:00,PYR_PYRON1,40.6925
2022-01-03T08:00:00-06:00,2022-01-03 14:00:00+00:00,2022-01-03T09:00:00-06:00,2022-01-03 15:00:00+00:00,PYR_PYRON1,32.1833333333333
2022-01-03T09:00:00-06:00,2022-01-03 15:00:00+00:00,2022-01-03T10:00:00-06:00,2022-01-03 16:00:00+00:00,PYR_PYRON1,25.6383333333333
2022-01-03T10:00:00-06:00,2022-01-03 16:00:00+00:00,2022-01-03T11:00:00-06:00,2022-01-03 17:00:00+00:00,PYR_PYRON1,26.245
2022-01-03T11:00:00-06:00,2022-01-03 17:00:00+00:00,2022-01-03T12:00:00-06:00,2022-01-03 18:00:00+00:00,PYR_PYRON1,23.5491666666667
2022-01-03T12:00:00-06:00,2022-01-03 18:00:00+00:00,2022-01-03T13:00:00-06:00,2022-01-03 19:00:00+00:00,PYR_PYRON1,22.6108333333333
2022-01-03T13:00:00-06:00,2022-01-03 19:00:00+00:00,2022-01-03T14:00:00-06:00,2022-01-03 20:00:00+00:00,PYR_PYRON1,21.0341666666667
2022-01-03T14:00:00-06:00,2022-01-03 20:00:00+00:00,2022-01-03T15:00:00-06:00,2022-01-03 21:00:00+00:00,PYR_PYRON1,18.5141666666667
2022-01-03T15:00:00-06:00,2022-01-03 21:00:00+00:00,2022-01-03T16:00:00-06:00,2022-01-03 22:00:00+00:00,PYR_PYRON1,17.4475
2022-01-03T16:00:00-06:00,2022-01-03 22:00:00+00:00,2022-01-03T17:00:00-06:00,2022-01-03 23:00:00+00:00,PYR_PYRON1,20.9441666666667
2022-01-03T17:00:00-06:00,2022-01-03 23:00:00+00:00,2022-01-03T18:00:00-06:00,2022-01-04 00:00:00+00:00,PYR_PYRON1,26.765
2022-01-03T18:00:00-06:00,2022-01-04 00:00:00+00:00,2022-01-03T19:00:00-06:00,2022-01-04 01:00:00+00:00,PYR_PYRON1,24.8283333333333
2022-01-03T19:00:00-06:00,2022-01-04 01:00:00+00:00,2022-01-03T20:00:00-06:00,2022-01-04 02:00:00+00:00,PYR_PYRON1,22.7325
2022-01-03T20:00:00-06:00,2022-01-04 02:00:00+00:00,2022-01-03T21:00:00-06:00,2022-01-04 03:00:00+00:00,PYR_PYRON1,-0.191538461538462
2022-01-03T21:00:00-06:00,2022-01-04 03:00:00+00:00,2022-01-03T22:00:00-06:00,2022-01-04 04:00:00+00:00,PYR_PYRON1,-5.00583333333333
2022-01-03T22:00:00-06:00,2022-01-04 04:00:00+00:00,2022-01-03T23:00:00-06:00,2022-01-04 05:00:00+00:00,PYR_PYRON1,-5.19083333333333
2022-01-03T23:00:00-06:00,2022-01-04 05:00:00+00:00,2022-01-04T00:00:00-06:00,2022-01-04 06:00:00+00:00,PYR_PYRON1,-5.835
