interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,location,lmp
2024-01-01T00:00:00-06:00,2024-01-01 06:00:00+00:00,2024-01-01T01:00:00-06:00,2024-01-01 07:00:00+00:00,PYR_PYRON1,15.4458333333333
2024-01-01T01:00:00-06:00,2024-01-01 07:00:00+00:00,2024-01-01T02:00:00-06:00,2024-01-01 08:00:00+00:00,PYR_PYRON1,16.4966666666667
2024-01-01T02:00:00-06:00,2024-01-01 08:00:00+00:00,2024-01-01T03:00:00-06:00,2024-01-01 09:00:00+00:00,PYR_PYRON1,17.005
2024-01-01T03:00:00-06:00,2024-01-01 09:00:00+00:00,2024-01-01T04:00:00-06:00,2024-01-01 10:00:00+00:00,PYR_PYRON1,17.955
2024-01-01T04:00:00-06:00,2024-01-01 10:00:00+00:00,2024-01-01T05:00:00-06:00,2024-01-01 11:00:00+00:00,PYR_PYRON1,20.6758333333333
2024-01-01T05:00:00-06:00,2024-01-01 11:00:00+00:00,2024-01-01T06:00:00-06:00,2024-01-01 12:00:00+00:00,PYR_PYRON1,22.4658333333333
2024-01-01T06:00:00-06:00,2024-01-01 12:00:00+00:00,2024-01-01T07:00:00-06:00,2024-01-01 13:00:00+00:00,PYR_PYRON1,26.22
2024-01-01T07:00:00-06:00,2024-01-01 13:00:00+00:00,2024-01-01T08:00:00-06:00,2024-01-01 14:00:00+00:00,PYR_PYRON1,31.1075
2024-01-01T08:00:00-06:00,2024-01-01 14:00:00+00:00,2024-01-01T09:00:00-06:00,2024-01-01 15:00:00+00:00,PYR_PYRON1,40.1591666666667
2024-01-01T09:00:00-06:00,2024-01-01 15:00:00+00:00,2024-01-01T10:00:00-06:00,2024-01-01 16:00:00+00:00,PYR_PYRON1,22.3416666666667
2024-01-01T10:00:00-06:00,2024-01-01 16:00:00+00:00,2024-01-01T11:00:00-06:00,2024-01-01 17:00:00+00:00,PYR_PYRON1,22.2216666666667
2024-01-01T11:00:00-06:00,2024-01-01 17:00:00+00:00,2024-01-01T12:00:00-06:00,2024-01-01 18:00:00+00:00,PYR_PYRON1,21.1216666666667
2024-01-01T12:00:00-06:00,2024-01-01 18:00:00+00:00,2024-01-01T13:00:00-06:00,2024-01-01 19:00:00+00:00,PYR_PYRON1,20.2891666666667
2024-01-01T13:00:00-06:00,2024-01-01 19:00:00+00:00,2024-01-01T14:00:00-06:00,2024-01-01 20:00:00+00:00,PYR_PYRON1,18.3833333333333
2024-01-01T14:00:00-06:00,2024-01-01 20:00:00+00:00,2024-01-01T15:00:00-06:00,2024-01-01 21:00:00+00:00,PYR_PYRON1,16.5966666666667
2024-01-01T15:00:00-06:00,2024-01-01 21:00:00+00:00,2024-01-01T16:00:00-06:00,2024-01-01 22:00:00+00:00,PYR_PYRON1,16.075
2024-01-01T16:00:00-06:00,2024-01-01 22:00:00+00:00,2024-01-01T17:00:00-06:00,2024-01-01 23:00:00+00:00,PYR_PYRON1,33.0883333333333
2024-01-01T17:00:00-06:00,2024-01-01 23:00:00+00:00,2024-01-01T18:00:00-06:00,2024-01-02 00:00:00+00:00,PYR_PYRON1,64.4053846153846
2024-01-01T18:00:00-06:00,2024-01-02 00:00:00+00:00,2024-01-01T19:00:00-06:00,2024-01-02 01:00:00+00:00,PYR_PYRON1,49.2538461538461
2024-01-01T19:00:00-06:00,2024-01-02 01:00:00+00:00,2024-01-01T20:00:00-06:00,2024-01-02 02:00:00+00:00,PYR_PYRON1,37.8383333333333
2024-01-01T20:00:00-06:00,2024-01-02 02:00:00+00:00,2024-01-01T21:00:00-06:00,2024-01-02 03:00:00+00:00,PYR_PYRON1,46.7452941176471
2024-01-01T21:00:00-06:00,2024-01-02 03:00:00+00:00,2024-01-01T22:00:00-06:00,2024-01-02 04:00:00+00:00,PYR_PYRON1,40.8358333333333
2024-01-01T22:00:00-06:00,2024-01-02 04:00:00+00:00,2024-01-01T23:00:00-06:00,2024-01-02 05:00:00+00:00,PYR_PYRON1,26.2516666666667
2024-01-01T23:00:00-06:00,2024-01-02 05:00:00+00:00,2024-01-02T00:00:00-06:00,2024-01-02 06:00:00+00:00,PYR_PYRON1,22.6758333333333
2024-01-02T00:00:00-06:00,2024-01-02 06:00:00+00:00,2024-01-02T01:00:00-06:00,2024-01-02 07:00:00+00:00,PYR_PYRON1,21.68
2024-01-02T01:00:00-06:00,2024-01-02 07:00:00+00:00,2024-01-02T02:00:00-06:00,2024-01-02 08:00:00+00:00,PYR_PYRON1,21.4975
2024-01-02T02:00:00-06:00,2024-01-02 08:00:00+00:00,2024-01-02T03:00:00-06:00,2024-01-02 09:00:00+00:00,PYR_PYRON1,21.2866666666667
2024-01-02T03:00:00-06:00,2024-01-02 09:00:00+00:00,2024-01-02T04:00:00-06:00,2024-01-02 10:00:00+00:00,PYR_PYRON1,19.7008333333333
2024-01-02T04:00:00-06:00,2024-01-02 10:00:00+00:00,2024-01-02T05:00:00-06:00,2024-01-02 11:00:00+00:00,PYR_PYRON1,18.565
2024-01-02T05:00:00-06:00,2024-01-02 11:00:00+00:00,2024-01-02T06:00:00-06:00,2024-01-02 12:00:00+00:00,PYR_PYRON1,21.5758333333333
2024-01-02T06:00:00-06:00,2024-01-02 12:00:00+00:00,2024-01-02T07:00:00-06:00,2024-01-02 13:00:00+00:00,PYR_PYRON1,37.8783333333333
2024-01-02T07:00:00-06:00,2024-01-02 13:00:00+00:00,2024-01-02T08:00:00-06:00,2024-01-02 14:00:00+00:00,PYR_PYRON1,54.2692307692308
2024-01-02T08:00:00-06:00,2024-01-02 14:00:00+00:00,2024-01-02T09:00:00-06:00,2024-01-02 15:00:00+00:00,PYR_PYRON1,47.0766666666667
2024-01-02T09:00:00-06:00,2024-01-02 15:00:00+00:00,2024-01-02T10:00:00-06:00,2024-01-02 16:00:00+00:00,PYR_PYRON1,51.9623076923077
2024-01-02T10:00:00-06:00,2024-01-02 16:00:00+00:00,2024-01-02T11:00:00-06:00,2024-01-02 17:00:00+00:00,PYR_PYRON1,36.18
2024-01-02T11:00:00-06:00,2024-01-02 17:00:00+00:00,2024-01-02T12:00:00-06:00,2024-01-02 18:00:00+00:00,PYR_PYRON1,23.5316666666667
2024-01-02T12:00:00-06:00,2024-01-02 18:00:00+00:00,2024-01-02T13:00:00-06:00,2024-01-02 19:00:00+00:00,PYR_PYRON1,22.5216666666667
2024-01-02T13:00:00-06:00,2024-01-02 19:00:00+00:00,2024-01-02T14:00:00-06:00,2024-01-02 20:00:00+00:00,PYR_PYRON1,25.1246153846154
2024-01-02T14:00:00-06:00,2024-01-02 20:00:00+00:00,2024-01-02T15:00:00-06:00,2024-01-02 21:00:00+00:00,PYR_PYRON1,26.2591666666667
2024-01-02T15:00:00-06:00,2024-01-02 21:00:00+00:00,2024-01-02T16:00:00-06:00,2024-01-02 22:00:00+00:00,PYR_PYRON1,27.5733333333333
2024-01-02T16:00:00-06:00,2024-01-02 22:00:00+00:00,2024-01-02T17:00:00-06:00,2024-01-02 23:00:00+00:00,PYR_PYRON1,33.6908333333333
2024-01-02T17:00:00-06:00,2024-01-02 23:00:00+00:00,2024-01-02T18:00:00-06:00,2024-01-03 00:00:00+00:00,PYR_PYRON1,64.72
2024-01-02T18:00:00-06:00,2024-01-03 00:00:00+00:00,2024-01-02T19:00:00-06:00,2024-01-03 01:00:00+00:00,PYR_PYRON1,77.1941666666667
2024-01-02T19:00:00-06:00,2024-01-03 01:00:00+00:00,2024-01-02T20:00:00-06:00,2024-01-03 02:00:00+00:00,PYR_PYRON1,59.505
2024-01-02T20:00:00-06:00,2024-01-03 02:00:00+00:00,2024-01-02T21:00:00-06:00,2024-01-03 03:00:00+00:00,PYR_PYRON1,70.8475
2024-01-02T21:00:00-06:00,2024-01-03 03:00:00+00:00,2024-01-02T22:00:00-06:00,2024-01-03 04:00:00+00:00,PYR_PYRON1,64.015
2024-01-02T22:00:00-06:00,2024-01-03 04:00:00+00:00,2024-01-02T23:00:00-06:00,2024-01-03 05:00:00+00:00,PYR_PYRON1,41.9108333333333
2024-01-02T23:00:00-06:00,2024-01-03 05:00:00+00:00,2024-01-03T00:00:00-06:00,2024-01-03 06:00:00+00:00,PYR_PYRON1,38.7691666666667
2024-01-03T00:00:00-06:00,2024-01-03 06:00:00+00:00,2024-01-03T01:00:00-06:00,2024-01-03 07:00:00+00:00,PYR_PYRON1,33.895
2024-01-03T01:00:00-06:00,2024-01-03 07:00:00+00:00,2024-01-03T02:00:00-06:00,2024-01-03 08:00:00+00:00,PYR_PYRON1,33.0633333333333
2024-01-03T02:00:00-06:00,2024-01-03 08:00:00+00:00,2024-01-03T03:00:00-06:00,2024-01-03 09:00:00+00:00,PYR_PYRON1,32.5225
2024-01-03T03:00:00-06:00,2024-01-03 09:00:00+00:00,2024-01-03T04:00:00-06:00,2024-01-03 10:00:00+00:00,PYR_PYRON1,28.32
