epoch,train_loss,val_loss
0,627.613,156.36192
1,84.45471,58.884754
2,31.411804,22.693588
3,12.7937765,9.206026
4,9.253696,8.34191
5,8.244228,7.6022024
6,8.140679,7.50213
7,8.080617,7.4714723
8,5.2449193,7.4631033
9,5.085362,7.461421
10,4.9785686,7.4604464
11,4.89405,7.460196
12,4.8073225,7.460099
13,4.6652794,7.4599485
14,4.6407714,7.4597974
15,4.5649023,7.4597583
16,4.546961,7.4597526
17,4.5122876,7.459707
18,4.396784,7.4597864
19,4.370796,7.4596543
20,4.3241553,7.459771
21,4.2879095,7.459682
22,4.1725526,7.459631
23,4.214676,7.459722
24,4.150499,7.4596334
25,4.1302705,7.4596
26,4.086945,7.4594417
27,4.057254,7.459569
28,4.0179334,7.4594045
29,3.9813232,7.4594646
30,3.9405906,7.4593825
31,3.935192,7.4594035
