epoch,train_loss,val_loss
0,75759920.0,17148692.0
1,9468132.0,6093155.0
2,3358621.2,2623390.2
3,1462787.1,824992.75
4,687437.6,290952.47
5,270621.56,253599.06
6,250464.88,242468.44
7,244896.44,236378.16
8,158966.64,235909.55
9,154049.94,235710.98
10,150798.47,235494.86
11,148052.78,235298.97
12,144976.86,235106.77
13,141772.78,234923.55
14,140296.72,234773.67
15,137105.78,234584.84
16,136628.3,234468.73
17,135217.66,234354.17
18,132005.55,234200.19
19,131584.98,233941.98
20,130515.125,233804.52
21,128117.35,233732.4
22,126004.7,233681.27
23,126186.984,233644.1
24,123521.03,233598.73
25,123646.01,233571.67
26,122371.03,233561.2
27,120757.49,233642.11
28,120860.9,233489.34
29,119750.15,233468.36
30,118291.87,233397.78
31,117934.805,233407.03
