epoch,train_loss,val_loss
0,1.03034216e+08,2.4361038e+07
1,1.5091376e+07,9.628308e+06
2,5.531382e+06,5.00935e+06
3,3.6949518e+06,2.7243342e+06
4,2.6162108e+06,2.3892968e+06
5,2.4030538e+06,2.175701e+06
6,2.4287942e+06,2.178267e+06
7,2.3947475e+06,2.1723722e+06
8,1.5954328e+06,2.1668048e+06
9,1.5904234e+06,2.1769842e+06
10,1.5417565e+06,2.1677688e+06
11,1.5224948e+06,2.1651872e+06
12,1.4550842e+06,2.1613195e+06
13,1.5024029e+06,2.1598502e+06
14,1.4663541e+06,2.1797385e+06
15,1.458077e+06,2.200387e+06
16,1.3984331e+06,2.199444e+06
