epoch,train_loss,val_loss
0,8.4571364e+11,1.9386094e+11
1,1.0155694e+11,6.2441497e+10
2,3.509668e+10,2.0712671e+10
3,2.0278335e+10,1.729309e+10
4,1.9673215e+10,1.7296142e+10
5,1.8895014e+10,1.7188977e+10
6,1.8584009e+10,1.7157554e+10
7,1.8432459e+10,1.7133812e+10
8,1.4284933e+10,1.713596e+10
9,1.3714127e+10,1.7101512e+10
10,1.3848851e+10,1.718593e+10
11,1.3647334e+10,1.7098912e+10
12,1.353877e+10,1.7061707e+10
13,1.3142395e+10,1.7065724e+10
14,1.3240744e+10,1.7030188e+10
15,1.2961194e+10,1.7033718e+10
16,1.2929562e+10,1.7013661e+10
17,1.2850842e+10,1.7002373e+10
18,1.2815683e+10,1.6980836e+10
19,1.2513526e+10,1.6934045e+10
20,1.2497113e+10,1.6813383e+10
21,1.2168526e+10,1.6568498e+10
22,1.1790217e+10,1.5635855e+10
23,1.0489095e+10,1.2518148e+10
24,8.88862e+09,1.1927354e+10
25,7.991216e+09,1.0767053e+10
26,7.617216e+09,1.1840043e+10
27,9.873948e+09,1.2447019e+10
28,7.399602e+09,9.872428e+09
29,7.27972e+09,9.925799e+09
30,7.1213947e+09,9.447112e+09
31,6.4811735e+09,9.081105e+09
