epoch,train_loss,val_loss
0,1.7692228e+11,3.913944e+10
1,2.1914345e+10,1.5463026e+10
2,8.2948915e+09,7.8113736e+09
3,3.7517005e+09,2.8174694e+09
4,1.7391739e+09,3.6308666e+08
5,1.1700224e+08,9.79352e+07
6,5.8512056e+07,3.5134732e+07
7,2.5931272e+07,1.699428e+07
8,1.6477194e+07,9.141996e+06
9,1.1740882e+07,4.7648235e+06
10,2.8766198e+06,4.0518802e+06
11,2.510578e+06,3.4656712e+06
12,2.3325452e+06,2.8936555e+06
13,1.9921635e+06,2.3715082e+06
14,830732.2,2.142098e+06
15,1.3411305e+06,1.7115189e+06
16,771287.4,1.4465259e+06
17,320786.22,1.3683104e+06
18,872667.25,1.1856045e+06
19,527209.0,1.0201712e+06
20,366127.53,916659.2
21,268692.34,847171.2
22,261141.0,769081.06
23,196283.05,695556.0
24,282077.84,598900.9
25,103692.76,556930.2
26,128451.78,503986.66
27,112678.43,460028.62
28,332942.8,340825.4
29,64055.344,281929.6
30,193712.34,180230.1
31,30375.46,156632.28
