hour_index,datetime,power_generated,price,gurobi_release,gurobi_direct,gurobi_charge,gurobi_discharge,gurobi_discharge_before_rte,gurobi_storage_start,gurobi_storage_end,gurobi_mode_binary_charge,gurobi_action,gurobi_curtailment,horizon_start_hour,horizon_end_hour,executed_hours,milp_release,milp_direct,milp_charge,milp_discharge,milp_discharge_before_rte,milp_storage,milp_mode_binary_charge,milp_action,milp_curtailment,optimal_release,optimal_direct,optimal_charge,optimal_discharge,optimal_discharge_before_rte,optimal_storage,optimal_curtailment,baseload_release
0,2020-01-06 00:00:00,1.382,33.68083333333334,101.382,1.382,0.0,100.0,181.8181818181818,600.0,418.1818181818182,-0.0,1.0,0.0,0,167,168,101.382,1.382,0.0,100.0,181.8181818181818,600.0,-0.0,1.0,0.0,101.382,1.382,0.0,100.0,181.8181818181818,600.0,0.0,1.382
1,2020-01-06 01:00:00,1.032,22.25,1.032,1.032,0.0,0.0,0.0,418.1818181818182,418.1818181818182,-0.0,0.0,0.0,0,167,168,1.032,1.032,0.0,0.0,0.0,418.1818181818182,-0.0,0.0,0.0,1.032,1.032,0.0,0.0,0.0,418.1818181818182,0.0,1.032
2,2020-01-06 02:00:00,2.65,22.929166666666664,2.65,2.65,0.0,0.0,0.0,418.1818181818182,418.1818181818182,-0.0,0.0,0.0,0,167,168,2.65,2.65,0.0,0.0,0.0,418.1818181818182,-0.0,0.0,0.0,2.65,2.65,0.0,0.0,0.0,418.1818181818182,0.0,2.65
3,2020-01-06 03:00:00,3.639,30.03833333333333,3.639,3.639,0.0,0.0,0.0,418.1818181818182,418.1818181818182,-0.0,0.0,0.0,0,167,168,3.639,3.639,0.0,0.0,0.0,418.1818181818182,-0.0,0.0,0.0,3.639,3.639,0.0,0.0,0.0,418.1818181818182,0.0,3.639
4,2020-01-06 04:00:00,4.48,33.3125,24.480000000000008,4.48,0.0,20.0,36.36363636363636,418.1818181818182,381.8181818181818,-0.0,0.2,0.0,0,167,168,24.480000000000008,4.48,0.0,20.0,36.36363636363636,418.1818181818182,-0.0,0.2,0.0,24.480000000000008,4.48,0.0,20.0,36.36363636363636,418.1818181818182,0.0,4.48
5,2020-01-06 05:00:00,3.651,30.24749999999999,3.651,3.651,0.0,0.0,0.0,381.8181818181818,381.8181818181818,-0.0,0.0,0.0,0,167,168,3.651,3.651,0.0,0.0,0.0,381.8181818181818,-0.0,0.0,0.0,3.651,3.651,0.0,0.0,0.0,381.8181818181818,0.0,3.651
6,2020-01-06 06:00:00,0.885,26.177499999999995,0.885,0.885,0.0,0.0,0.0,381.8181818181818,381.8181818181818,-0.0,0.0,0.0,0,167,168,0.885,0.885,0.0,0.0,0.0,381.8181818181818,-0.0,0.0,0.0,0.885,0.885,0.0,0.0,0.0,381.8181818181818,0.0,0.885
7,2020-01-06 07:00:00,0.382,27.465833333333336,0.382,0.382,0.0,0.0,0.0,381.8181818181818,381.8181818181818,-0.0,0.0,0.0,0,167,168,0.382,0.382,0.0,0.0,0.0,381.8181818181818,-0.0,0.0,0.0,0.382,0.382,0.0,0.0,0.0,381.8181818181818,0.0,0.382
8,2020-01-06 08:00:00,0.004,33.1025,0.004,0.004,0.0,0.0,0.0,381.8181818181818,381.8181818181818,-0.0,0.0,0.0,0,167,168,0.004,0.004,0.0,0.0,0.0,381.8181818181818,-0.0,0.0,0.0,0.004,0.004,0.0,0.0,0.0,381.8181818181818,0.0,0.004
9,2020-01-06 09:00:00,3.369,32.65916666666667,3.369,3.369,0.0,0.0,0.0,381.8181818181818,381.8181818181818,-0.0,0.0,0.0,0,167,168,3.369,3.369,0.0,0.0,0.0,381.8181818181818,-0.0,0.0,0.0,3.369,3.369,0.0,0.0,0.0,381.8181818181818,0.0,3.369
