window_index,horizon_start_hour,horizon_end_hour,executed_until_hour,initial_soc,soc_after_execution,planned_terminal_soc,objective,runtime_seconds,mip_gap,status
0,0,167,23,0.0,778.207,0.0,23064.206424435044,0.009862899780273438,0.0,2
1,24,191,47,778.207,1477.9509999999998,778.207,20434.111762676144,0.006082057952880859,0.0,2
2,48,215,71,1477.9509999999998,286.7327272727272,1477.9509999999998,17893.63521076411,0.008981943130493164,0.0,2
3,72,239,95,286.7327272727272,6.298,286.7327272727272,15291.24690246275,0.006125926971435547,0.0,2
4,96,263,119,6.298,0.0,6.298,12354.678894346433,0.005688905715942383,0.0,2
5,120,287,143,0.0,525.6470000000002,0.0,13277.335191502043,0.00527501106262207,0.0,2
6,144,311,167,525.6470000000002,1354.0020000000002,525.6470000000002,12200.73454891966,0.004982948303222656,0.0,2
7,168,335,191,1354.0020000000002,363.6363636363636,1354.0020000000002,13841.75306540907,0.008281946182250977,0.0,2
8,192,359,215,363.6363636363636,500.0,363.6363636363636,14098.872758095053,0.0058269500732421875,0.0,2
9,216,383,239,500.0,1934.2927272727272,500.0,22077.347192477806,0.008651018142700195,0.0,2
10,240,407,263,1934.2927272727272,2400.0,1934.2927272727272,23861.08984655684,0.009068965911865234,0.0,2
11,264,431,287,2400.0,1309.0909090909092,2400.0,28177.976709404364,0.0053691864013671875,0.0,2
12,288,455,311,1309.0909090909092,917.2911818181819,1309.0909090909092,28180.811623265145,0.007818937301635742,0.0,2
13,312,479,335,917.2911818181819,600.0,917.2911818181819,26994.928789007925,0.005025148391723633,0.0,2
14,336,503,359,600.0,2200.0,600.0,24708.911708362313,0.007623910903930664,0.0,2
15,360,527,383,2200.0,1127.2727272727275,2200.0,24995.16035487954,0.007382869720458984,0.0,2
16,384,551,407,1127.2727272727275,100.0,1127.2727272727275,27957.660242031234,0.007342815399169922,0.0,2
17,408,575,431,100.0,95.60327272727267,100.0,26464.906327675006,0.004837989807128906,0.0,2
18,432,599,455,95.60327272727267,732.0472727272728,95.60327272727267,23316.18306465742,0.004703044891357422,0.0,2
19,456,623,479,732.0472727272728,1380.8877272727273,732.0472727272728,22217.458774507697,0.007982015609741211,0.0,2
20,480,647,503,1380.8877272727273,1498.3617272727274,1380.8877272727273,21102.752918148824,0.007314920425415039,0.0,2
21,504,671,527,1498.3617272727274,2218.181818181818,1498.3617272727274,24662.441605566284,0.007469892501831055,0.0,2
22,528,695,551,2218.181818181818,1672.7272727272727,2218.181818181818,23047.107055961995,0.008419990539550781,0.0,2
23,552,719,575,1672.7272727272727,1577.6236363636365,1672.7272727272727,14189.002952993987,0.008375883102416992,0.0,2
24,576,743,599,1577.6236363636365,941.7699090909093,1577.6236363636365,10200.52219972853,0.0077800750732421875,0.0,2
25,600,767,623,941.7699090909093,1106.0889090909093,941.7699090909093,8399.811206046234,0.007884979248046875,0.0,2
26,624,791,647,1106.0889090909093,1106.0889090909093,1106.0889090909093,8395.960217280746,0.006589174270629883,0.0,2
27,648,815,671,1106.0889090909093,373.6700909090913,1106.0889090909093,8141.078595316299,0.007035970687866211,0.0,2
28,672,839,695,373.6700909090913,0.0,373.6700909090913,5463.742759527328,0.0038101673126220703,0.0,2
29,696,863,719,0.0,401.47427272727293,0.0,10665.472193383057,0.0039060115814208984,0.0,2
30,720,887,743,401.47427272727293,943.5682727272729,401.47427272727293,13264.09023176224,0.006777048110961914,0.0,2
31,744,911,767,943.5682727272729,1221.6272727272726,943.5682727272729,14975.723907849171,0.004520893096923828,0.0,2
32,768,935,791,1221.6272727272726,1221.6272727272726,1221.6272727272726,17963.501547247422,0.007565021514892578,0.0,2
33,792,959,815,1221.6272727272726,1067.8600909090906,1221.6272727272726,18647.08626460394,0.00844120979309082,0.0,2
34,816,983,839,1067.8600909090906,1668.7670909090905,1067.8600909090906,21850.7393109106,0.008358001708984375,0.0,2
35,840,1007,863,1668.7670909090905,577.8579999999998,1668.7670909090905,22740.572716949373,0.007617950439453125,0.0,2
36,864,1031,887,577.8579999999998,325.2190000000005,577.8579999999998,17621.90412419471,0.007713794708251953,0.0,2
37,888,1055,911,325.2190000000005,725.2190000000005,325.2190000000005,15292.775141748147,0.0045511722564697266,0.0,2
38,912,1079,935,725.2190000000005,1525.2190000000005,725.2190000000005,16319.442572860673,0.005020856857299805,0.0,2
39,936,1103,959,1525.2190000000005,2125.2190000000005,1525.2190000000005,15563.156804412387,0.006864070892333984,0.0,2
40,960,1127,983,2125.2190000000005,899.6805454545458,2125.2190000000005,16073.415933878194,0.007180929183959961,0.0,2
41,984,1151,1007,899.6805454545458,445.86181818181814,899.6805454545458,12418.154628766555,0.007493019104003906,0.0,2
42,1008,1175,1031,445.86181818181814,264.0436363636363,445.86181818181814,12359.25592843479,0.008023977279663086,0.0,2
43,1032,1199,1055,264.0436363636363,82.22545454545453,264.0436363636363,13397.671950904938,0.006064176559448242,0.0,2
44,1056,1223,1079,82.22545454545453,200.0,82.22545454545453,13466.88802260332,0.006738901138305664,0.0,2
45,1080,1247,1103,200.0,800.0,200.0,20639.550370232122,0.006296873092651367,0.0,2
46,1104,1271,1127,800.0,1230.9221818181818,800.0,22910.818800848956,0.005522012710571289,0.0,2
47,1128,1295,1151,1230.9221818181818,1049.104,1230.9221818181818,23136.43897250841,0.008991003036499023,0.0,2
48,1152,1319,1175,1049.104,1149.104,1049.104,24558.511328115113,0.007879972457885742,0.0,2
49,1176,1343,1199,1149.104,1829.951,1149.104,22628.95102130078,0.007950067520141602,0.0,2
50,1200,1367,1223,1829.951,2400.0,1829.951,23130.23554052714,0.008207082748413086,0.0,2
51,1224,1391,1247,2400.0,1567.936909090909,2400.0,21790.089525554988,0.005007028579711914,0.0,2
52,1248,1415,1271,1567.936909090909,752.0986363636362,1567.936909090909,13784.237045399444,0.0070269107818603516,0.0,2
53,1272,1439,1295,752.0986363636362,0.0,752.0986363636362,11708.544938454776,0.005205869674682617,0.0,2
54,1296,1463,1319,0.0,0.0,0.0,12422.404990413777,0.005483865737915039,0.0,2
55,1320,1487,1343,0.0,0.0,0.0,11421.118529942367,0.005615234375,0.0,2
56,1344,1511,1367,0.0,200.0,0.0,12955.150599053906,0.005543947219848633,0.0,2
57,1368,1535,1391,200.0,800.0,200.0,13710.81816487312,0.005414009094238281,0.0,2
58,1392,1559,1415,800.0,0.0,800.0,13341.921842974107,0.005450010299682617,0.0,2
59,1416,1583,1439,0.0,0.0,0.0,14757.776981631196,0.005938053131103516,0.0,2
60,1440,1607,1463,0.0,235.01600000000002,0.0,14721.370677765271,0.005849123001098633,0.0,2
61,1464,1631,1487,235.01600000000002,751.884,235.01600000000002,12736.35740243832,0.0055429935455322266,0.0,2
62,1488,1655,1511,751.884,1302.293181818181,751.884,13826.832681345944,0.008584976196289062,0.0,2
63,1512,1679,1535,1302.293181818181,1238.7568181818176,1302.293181818181,12529.184192470684,0.009057998657226562,0.0,2
64,1536,1703,1559,1238.7568181818176,1238.7568181818176,1238.7568181818176,10567.352807053558,0.008468151092529297,0.0,2
65,1560,1727,1583,1238.7568181818176,1208.871363636363,1238.7568181818176,13529.518588227487,0.008857011795043945,0.0,2
66,1584,1751,1607,1208.871363636363,1808.871363636363,1208.871363636363,10990.289156976325,0.008317947387695312,0.0,2
67,1608,1775,1631,1808.871363636363,2343.840363636363,1808.871363636363,9950.582069921065,0.008059024810791016,0.0,2
68,1632,1799,1655,2343.840363636363,525.658545454545,2343.840363636363,12249.776611536887,0.008094072341918945,0.0,2
69,1656,1823,1679,525.658545454545,1164.1905454545447,525.658545454545,13616.686772869345,0.005670070648193359,0.0,2
70,1680,1847,1703,1164.1905454545447,73.28145454545393,1164.1905454545447,15520.879382601768,0.010255098342895508,0.0,2
71,1704,1871,1727,73.28145454545393,0.0,73.28145454545393,16889.04750987677,0.005928993225097656,0.0,2
72,1728,1895,1751,0.0,263.503,0.0,17400.721031460464,0.005424976348876953,0.0,2
73,1752,1919,1775,263.503,2100.0,263.503,21176.523322439523,0.0057239532470703125,0.0,2
74,1776,1943,1799,2100.0,2312.2054545454544,2100.0,21756.369792637728,0.008693933486938477,0.0,2
75,1800,1967,1823,2312.2054545454544,1541.1672727272728,2312.2054545454544,20592.512431063256,0.010414838790893555,0.0,2
76,1824,1991,1847,1541.1672727272728,1248.23,1541.1672727272728,20860.86693490761,0.008234024047851562,0.0,2
77,1848,2015,1871,1248.23,1949.2434545454546,1248.23,19173.874752838266,0.007872819900512695,0.0,2
78,1872,2039,1895,1949.2434545454546,124.94545454545455,1949.2434545454546,19785.42265788534,0.00822591781616211,0.0,2
79,1896,2063,1919,124.94545454545455,279.684,124.94545454545455,17278.83707888434,0.005918979644775391,0.0,2
80,1920,2087,1943,279.684,300.0,279.684,15955.357062396917,0.005494832992553711,0.0,2
81,1944,2111,1967,300.0,2100.0,300.0,15705.045580674256,0.00613713264465332,0.0,2
82,1968,2135,1991,2100.0,1981.8181818181818,2100.0,16217.449218165215,0.0073909759521484375,0.0,2
83,1992,2159,2015,1981.8181818181818,2000.0,1981.8181818181818,14165.802385576433,0.007971048355102539,0.0,2
84,2016,2183,2039,2000.0,1433.7272727272725,2000.0,17047.21204751061,0.007946968078613281,0.0,2
85,2040,2207,2063,1433.7272727272725,1433.7272727272725,1433.7272727272725,18088.728596027446,0.007910013198852539,0.0,2
86,2064,2231,2087,1433.7272727272725,919.630909090909,1433.7272727272725,17554.38020148575,0.0074770450592041016,0.0,2
87,2088,2255,2111,919.630909090909,367.0228181818178,919.630909090909,15414.557534587313,0.007402181625366211,0.0,2
88,2112,2279,2135,367.0228181818178,767.0228181818179,367.0228181818178,14317.402643232388,0.005124807357788086,0.0,2
89,2136,2303,2159,767.0228181818179,1818.181818181818,767.0228181818179,14358.368363012667,0.007646799087524414,0.0,2
90,2160,2327,2183,1818.181818181818,1818.1818181818178,1818.181818181818,15518.592430909892,0.008105039596557617,0.0,2
91,2184,2351,2207,1818.1818181818178,113.52499999999999,1818.1818181818178,16587.555972763836,0.0076580047607421875,0.0,2
92,2208,2375,2231,113.52499999999999,1763.3220000000001,113.52499999999999,13819.599184997172,0.005279064178466797,0.0,2
93,2232,2399,2255,1763.3220000000001,1881.5038181818184,1763.3220000000001,13355.62110498414,0.008108139038085938,0.0,2
94,2256,2423,2279,1881.5038181818184,1774.3381818181817,1881.5038181818184,12867.082532966891,0.0082550048828125,0.0,2
95,2280,2447,2303,1774.3381818181817,1900.0,1774.3381818181817,12347.379479951325,0.00793600082397461,0.0,2
96,2304,2471,2327,1900.0,1490.909090909091,1900.0,10148.078906427805,0.006994009017944336,0.0,2
97,2328,2495,2351,1490.909090909091,353.4745454545458,1490.909090909091,8560.696748528659,0.006850004196166992,0.0,2
98,2352,2519,2375,353.4745454545458,146.0431818181818,353.4745454545458,6137.373767204901,0.0041370391845703125,0.0,2
99,2376,2543,2399,146.0431818181818,0.0,146.0431818181818,4836.651500361878,0.0038619041442871094,0.0,2
100,2400,2567,2423,0.0,678.3024545454541,0.0,5473.11792375652,0.004071950912475586,0.0,2
101,2424,2591,2447,678.3024545454541,0.0,678.3024545454541,7082.825638051352,0.0043849945068359375,0.0,2
102,2448,2615,2471,0.0,1449.5965454545453,0.0,7612.999286715793,0.004180908203125,0.0,2
103,2472,2639,2495,1449.5965454545453,2036.3636363636363,1449.5965454545453,7661.362636319871,0.006494998931884766,0.0,2
104,2496,2663,2519,2036.3636363636363,0.0,2036.3636363636363,8351.862460939448,0.006893157958984375,0.0,2
105,2520,2687,2543,0.0,1413.5860000000002,0.0,7879.519150783024,0.004659891128540039,0.0,2
106,2544,2711,2567,1413.5860000000002,1879.2831818181817,1413.5860000000002,10686.50314356001,0.0070209503173828125,0.0,2
107,2568,2735,2591,1879.2831818181817,1371.3581818181817,1879.2831818181817,11455.358216288223,0.006551027297973633,0.0,2
108,2592,2759,2615,1371.3581818181817,810.3159999999997,1371.3581818181817,13270.449146372104,0.007224082946777344,0.0,2
109,2616,2783,2639,810.3159999999997,1944.391,810.3159999999997,14219.864047277388,0.004436016082763672,0.0,2
110,2640,2807,2663,1944.391,2218.181818181818,1944.391,16284.779707768415,0.0069370269775390625,0.0,2
111,2664,2831,2687,2218.181818181818,2036.3636363636363,2218.181818181818,15413.966005446951,0.006684064865112305,0.0,2
112,2688,2855,2711,2036.3636363636363,966.2890909090912,2036.3636363636363,14551.30197242834,0.006994009017944336,0.0,2
113,2712,2879,2735,966.2890909090912,1085.6646363636366,966.2890909090912,12221.482296715129,0.006968021392822266,0.0,2
114,2736,2903,2759,1085.6646363636366,1863.335181818182,1085.6646363636366,10736.463069909169,0.006826162338256836,0.0,2
115,2760,2927,2783,1863.335181818182,2100.0,1863.335181818182,8826.350303669264,0.006736040115356445,0.0,2
116,2784,2951,2807,2100.0,1272.7262727272725,2100.0,8327.744395835758,0.006621837615966797,0.0,2
117,2808,2975,2831,1272.7262727272725,0.0,1272.7262727272725,5616.4938064177995,0.00725102424621582,0.0,2
118,2832,2999,2855,0.0,504.698,0.0,5491.252108120864,0.003957986831665039,0.0,2
119,2856,3023,2879,504.698,2270.171,504.698,5548.157315277465,0.0063250064849853516,0.0,2
120,2880,3047,2903,2270.171,2103.6250000000005,2270.171,4668.4066611225035,0.006312131881713867,0.0,2
121,2904,3071,2927,2103.6250000000005,2164.104,2103.6250000000005,5281.412038539435,0.0064618587493896484,0.0,2
122,2928,3095,2951,2164.104,852.0222727272728,2164.104,5504.367612541116,0.006102085113525391,0.0,2
123,2952,3119,2975,852.0222727272728,977.4542727272727,852.0222727272728,4557.0199021999215,0.0063970088958740234,0.0,2
124,2976,3143,2999,977.4542727272727,291.7875454545455,977.4542727272727,4810.423064083538,0.004334926605224609,0.0,2
125,3000,3167,3023,291.7875454545455,154.337,291.7875454545455,5255.73488930579,0.004427194595336914,0.0,2
126,3024,3191,3047,154.337,590.7370000000001,154.337,6338.937057059914,0.005301952362060547,0.0,2
127,3048,3215,3071,590.7370000000001,1316.3110909090913,590.7370000000001,8456.310381040093,0.00460505485534668,0.0,2
128,3072,3239,3095,1316.3110909090913,702.9887272727271,1316.3110909090913,9481.05613253759,0.006585836410522461,0.0,2
129,3096,3263,3119,702.9887272727271,1000.0,702.9887272727271,18496.09075580719,0.0042879581451416016,0.0,2
130,3120,3287,3143,1000.0,1830.064181818182,1000.0,18134.494145449906,0.006938934326171875,0.0,2
131,3144,3311,3167,1830.064181818182,1602.1229999999998,1830.064181818182,18610.251003006688,0.006302833557128906,0.0,2
132,3168,3335,3191,1602.1229999999998,1819.4600909090902,1602.1229999999998,18858.458773445138,0.006758928298950195,0.0,2
133,3192,3359,3215,1819.4600909090902,1513.3881818181815,1819.4600909090902,17715.22620747516,0.006459951400756836,0.0,2
134,3216,3383,3239,1513.3881818181815,897.2190909090908,1513.3881818181815,18586.341476723755,0.0064389705657958984,0.0,2
135,3240,3407,3263,897.2190909090908,26.027,897.2190909090908,17322.410123503632,0.006597995758056641,0.0,2
136,3264,3431,3287,26.027,0.0,26.027,7744.93084842744,0.0040628910064697266,0.0,2
137,3288,3455,3311,0.0,1413.3170000000002,0.0,10395.714956040532,0.004094123840332031,0.0,2
138,3312,3479,3335,1413.3170000000002,2325.7529999999997,1413.3170000000002,10737.801140568004,0.006569862365722656,0.0,2
139,3336,3503,3359,2325.7529999999997,2400.0,2325.7529999999997,15985.416588020504,0.006526947021484375,0.0,2
140,3360,3527,3383,2400.0,1685.5840000000003,2400.0,17505.717721960504,0.004469871520996094,0.0,2
141,3384,3551,3407,1685.5840000000003,1738.1940000000002,1685.5840000000003,15996.636048494209,0.006438016891479492,0.0,2
142,3408,3575,3431,1738.1940000000002,1784.3314545454546,1738.1940000000002,17114.930541575643,0.006621122360229492,0.0,2
143,3432,3599,3455,1784.3314545454546,1557.0587272727273,1784.3314545454546,20710.036827137952,0.011873960494995117,0.0,2
144,3456,3623,3479,1557.0587272727273,1706.3090000000002,1557.0587272727273,24151.639331136063,0.012205839157104492,0.0,2
145,3480,3647,3503,1706.3090000000002,1227.2727272727275,1706.3090000000002,27394.04701124534,0.008229970932006836,0.0,2
146,3504,3671,3527,1227.2727272727275,1853.6717272727274,1227.2727272727275,24382.050166648667,0.009047985076904297,0.0,2
147,3528,3695,3551,1853.6717272727274,1174.478545454545,1853.6717272727274,25499.990174577924,0.009033918380737305,0.0,2
148,3552,3719,3575,1174.478545454545,813.0966363636362,1174.478545454545,26292.417578800836,0.009523153305053711,0.0,2
149,3576,3743,3599,813.0966363636362,1338.641818181818,813.0966363636362,35608.85087549512,0.00946497917175293,0.0,2
150,3600,3767,3623,1338.641818181818,965.9145454545458,1338.641818181818,35712.82507109319,0.00893402099609375,0.0,2
151,3624,3791,3647,965.9145454545458,1061.0109090909093,965.9145454545458,32975.53056495622,0.006327152252197266,0.0,2
152,3648,3815,3671,1061.0109090909093,587.2581818181819,1061.0109090909093,29531.08936538005,0.008810043334960938,0.0,2
153,3672,3839,3695,587.2581818181819,659.9854545454548,587.2581818181819,27474.70869391781,0.00851297378540039,0.0,2
154,3696,3863,3719,659.9854545454548,1459.9854545454548,659.9854545454548,25135.40436214287,0.008484840393066406,0.0,2
