window_index,horizon_start_hour,horizon_end_hour,executed_until_hour,initial_soc,soc_after_execution,planned_terminal_soc,objective,runtime_seconds,mip_gap,status
0,0,167,23,1440.0,1900.0,1440.0,23767.38110614471,0.0148468017578125,0.0,2
1,24,191,47,1900.0,2178.190909090909,1900.0,20862.949043105215,0.008269071578979492,0.0,2
2,48,215,71,2178.190909090909,766.7327272727272,2178.190909090909,18041.450335676655,0.007355928421020508,0.0,2
3,72,239,95,766.7327272727272,486.298,766.7327272727272,15291.24690246275,0.004848003387451172,0.0,2
4,96,263,119,486.298,480.0,486.298,12354.678894346433,0.005230903625488281,0.0,2
5,120,287,143,480.0,1005.6470000000002,480.0,13147.214665346512,0.005068063735961914,0.0,2
6,144,311,167,1005.6470000000002,1834.0020000000002,1005.6470000000002,12037.736235321569,0.004821062088012695,0.0,2
7,168,335,191,1834.0020000000002,843.6363636363635,1834.0020000000002,13631.897687595692,0.008213996887207031,0.0,2
8,192,359,215,843.6363636363635,980.0,843.6363636363635,13942.69827711175,0.005914211273193359,0.0,2
9,216,383,239,980.0,2000.0,980.0,21664.958796563667,0.008638858795166016,0.0,2
10,240,407,263,2000.0,2400.0,2000.0,23702.694871351126,0.008540868759155273,0.0,2
11,264,431,287,2400.0,1309.0909090909092,2400.0,28172.932795113098,0.005464076995849609,0.0,2
12,288,455,311,1309.0909090909092,917.2911818181819,1309.0909090909092,27818.695694953432,0.007559061050415039,0.0,2
13,312,479,335,917.2911818181819,600.0,917.2911818181819,26612.249618370086,0.004887819290161133,0.0,2
14,336,503,359,600.0,2200.0,600.0,24276.434677036763,0.007144927978515625,0.0,2
15,360,527,383,2200.0,1377.8419090909092,2200.0,24628.086722949425,0.006693124771118164,0.0,2
16,384,551,407,1377.8419090909092,580.0,1377.8419090909092,27768.509874754727,0.004428863525390625,0.0,2
17,408,575,431,580.0,575.6032727272724,580.0,26464.906327675006,0.004864931106567383,0.0,2
18,432,599,455,575.6032727272724,1212.0472727272722,575.6032727272724,23315.73831014926,0.007509946823120117,0.0,2
19,456,623,479,1212.0472727272722,1600.2580909090905,1212.0472727272722,22202.79146914565,0.007272005081176758,0.0,2
20,480,647,503,1600.2580909090905,1690.0020909090906,1600.2580909090905,21094.05912307681,0.006855010986328125,0.0,2
21,504,671,527,1690.0020909090906,2218.181818181818,1690.0020909090906,24653.086226110667,0.006894826889038086,0.0,2
22,528,695,551,2218.181818181818,1672.7272727272727,2218.181818181818,23047.107055961995,0.007255077362060547,0.0,2
23,552,719,575,1672.7272727272727,1577.6236363636365,1672.7272727272727,14189.002952993987,0.007752180099487305,0.0,2
24,576,743,599,1577.6236363636365,941.7699090909093,1577.6236363636365,10200.52219972853,0.00708317756652832,0.0,2
25,600,767,623,941.7699090909093,1106.0889090909093,941.7699090909093,8373.305113599243,0.00675201416015625,0.0,2
26,624,791,647,1106.0889090909093,1106.0889090909093,1106.0889090909093,8388.034350141725,0.006577968597412109,0.0,2
27,648,815,671,1106.0889090909093,480.0,1106.0889090909093,8140.786809381496,0.007294178009033203,0.0,2
28,672,839,695,480.0,480.0,480.0,5449.22795555461,0.004302978515625,0.0,2
29,696,863,719,480.0,881.4742727272728,480.0,10665.472193383057,0.0038030147552490234,0.0,2
30,720,887,743,881.4742727272728,1423.5682727272729,881.4742727272728,13264.09023176224,0.006500959396362305,0.0,2
31,744,911,767,1423.5682727272729,1701.6272727272726,1423.5682727272729,14975.723907849171,0.005555152893066406,0.0,2
32,768,935,791,1701.6272727272726,1701.6272727272726,1701.6272727272726,17963.501547247426,0.0068051815032958984,0.0,2
33,792,959,815,1701.6272727272726,1547.8600909090906,1701.6272727272726,18647.08626460394,0.007691144943237305,0.0,2
34,816,983,839,1547.8600909090906,2000.7348181818184,1547.8600909090906,21794.623544773418,0.007205963134765625,0.0,2
35,840,1007,863,2000.7348181818184,909.8257272727277,2000.7348181818184,22648.126499807764,0.006941795349121094,0.0,2
36,864,1031,887,909.8257272727277,570.9930000000007,909.8257272727277,17605.344729366225,0.007411956787109375,0.0,2
37,888,1055,911,570.9930000000007,970.9930000000007,570.9930000000007,15283.407544307613,0.004383087158203125,0.0,2
38,912,1079,935,970.9930000000007,1570.9930000000004,970.9930000000007,16293.043235264524,0.004665851593017578,0.0,2
39,936,1103,959,1570.9930000000004,2170.9930000000004,1570.9930000000004,15511.175080474364,0.006596088409423828,0.0,2
40,960,1127,983,2170.9930000000004,945.4545454545457,2170.9930000000004,16016.790235677234,0.006974935531616211,0.0,2
41,984,1151,1007,945.4545454545457,843.6363636363635,945.4545454545457,12296.000278643736,0.007915019989013672,0.0,2
42,1008,1175,1031,843.6363636363635,661.8181818181818,843.6363636363635,12336.298412475426,0.005461931228637695,0.0,2
43,1032,1199,1055,661.8181818181818,480.0,661.8181818181818,13373.212792248,0.005096912384033203,0.0,2
44,1056,1223,1079,480.0,680.0,480.0,13438.333367549505,0.005198001861572266,0.0,2
45,1080,1247,1103,680.0,1280.0,680.0,20639.550370232122,0.005312919616699219,0.0,2
46,1104,1271,1127,1280.0,1230.9221818181818,1280.0,22815.312848691512,0.0050351619720458984,0.0,2
47,1128,1295,1151,1230.9221818181818,1049.104,1230.9221818181818,23136.43897250841,0.005734920501708984,0.0,2
48,1152,1319,1175,1049.104,1149.104,1049.104,24558.511328115113,0.005198001861572266,0.0,2
49,1176,1343,1199,1149.104,1829.951,1149.104,22628.95102130078,0.0076329708099365234,0.0,2
50,1200,1367,1223,1829.951,2400.0,1829.951,23130.23554052714,0.007662057876586914,0.0,2
51,1224,1391,1247,2400.0,1567.936909090909,2400.0,21790.089525554988,0.0048749446868896484,0.0,2
52,1248,1415,1271,1567.936909090909,1207.2727272727273,1567.936909090909,13769.699606131122,0.006799936294555664,0.0,2
53,1272,1439,1295,1207.2727272727273,480.0,1207.2727272727273,11706.07920921746,0.004555940628051758,0.0,2
54,1296,1463,1319,480.0,480.0,480.0,12422.404990413777,0.0050220489501953125,0.0,2
55,1320,1487,1343,480.0,480.0,480.0,11421.118529942367,0.00498199462890625,0.0,2
56,1344,1511,1367,480.0,680.0,480.0,12955.150599053906,0.004913806915283203,0.0,2
57,1368,1535,1391,680.0,1280.0,680.0,13710.81816487312,0.005282163619995117,0.0,2
58,1392,1559,1415,1280.0,480.0,1280.0,13340.885810721853,0.0051610469818115234,0.0,2
59,1416,1583,1439,480.0,480.0,480.0,14757.776981631197,0.005419015884399414,0.0,2
60,1440,1607,1463,480.0,715.0160000000001,480.0,14721.370677765271,0.005328178405761719,0.0,2
61,1464,1631,1487,715.0160000000001,1231.884,715.0160000000001,12736.35740243832,0.0051288604736328125,0.0,2
62,1488,1655,1511,1231.884,1700.0,1231.884,13801.666374878698,0.00781702995300293,0.0,2
63,1512,1679,1535,1700.0,1636.463636363636,1700.0,12520.617808913332,0.008006095886230469,0.0,2
64,1536,1703,1559,1636.463636363636,1518.192818181818,1636.463636363636,10554.742822707944,0.007654905319213867,0.0,2
65,1560,1727,1583,1518.192818181818,1265.031,1518.192818181818,13523.773799426772,0.008194923400878906,0.0,2
66,1584,1751,1607,1265.031,1865.031,1265.031,10990.289156976327,0.007968902587890625,0.0,2
67,1608,1775,1631,1865.031,2400.0,1865.031,9888.04261779065,0.007678985595703125,0.0,2
68,1632,1799,1655,2400.0,763.636363636364,2400.0,12187.335311632198,0.005341053009033203,0.0,2
69,1656,1823,1679,763.636363636364,1402.1683636363637,763.636363636364,13560.026616045512,0.005586147308349609,0.0,2
