window_index,horizon_start_hour,horizon_end_hour,executed_until_hour,initial_soc,soc_after_execution,planned_terminal_soc,objective,runtime_seconds,mip_gap,status
0,0,23,23,1440.0,1440.0,1440.0,4778.536207224868,0.010529041290283203,0.0,2
1,24,47,47,1440.0,1440.0,1440.0,3963.0169437677937,0.0013949871063232422,0.0,2
2,48,71,71,1440.0,1440.0,1440.0,2725.647898087287,0.0010571479797363281,0.0,2
3,72,95,95,1440.0,1440.0,1440.0,4572.1636460927475,0.0016760826110839844,0.0,2
4,96,119,119,1440.0,1440.0,1440.0,2150.847920899206,0.0011348724365234375,0.0,2
5,120,143,143,1440.0,1440.0,1440.0,4017.286597407859,0.0014848709106445312,0.0,2
6,144,167,167,1440.0,1440.0,1440.0,612.2432676987896,0.0009298324584960938,0.0,2
7,168,191,191,1440.0,1440.0,1440.0,1597.7936704568863,0.0010390281677246094,0.0,2
8,192,215,215,1440.0,1440.0,1440.0,959.2726142546419,0.0011060237884521484,0.0,2
9,216,239,239,1440.0,1440.0,1440.0,1194.5788988155916,0.0011341571807861328,0.0,2
10,240,263,263,1440.0,1440.0,1440.0,1687.1312351943543,0.0019140243530273438,0.0,2
11,264,287,287,1440.0,1440.0,1440.0,2482.258715197134,0.0011608600616455078,0.0,2
12,288,311,311,1440.0,1440.0,1440.0,2856.807107227173,0.0013880729675292969,0.0,2
13,312,335,335,1440.0,1440.0,1440.0,2384.6959688383176,0.0015690326690673828,0.0,2
14,336,359,359,1440.0,1440.0,1440.0,1718.5822607523487,0.0013270378112792969,0.0,2
15,360,383,383,1440.0,1440.0,1440.0,7648.461130109183,0.0010440349578857422,0.0,2
16,384,407,407,1440.0,1440.0,1440.0,5030.415290744913,0.001294851303100586,0.0,2
17,408,431,431,1440.0,1440.0,1440.0,5273.865138049974,0.0012888908386230469,0.0,2
18,432,455,455,1440.0,1440.0,1440.0,1315.8413953207148,0.0010058879852294922,0.0,2
19,456,479,479,1440.0,1440.0,1440.0,1666.8616705884656,0.0008590221405029297,0.0,2
20,480,503,503,1440.0,1440.0,1440.0,69.83636983749005,0.0005121231079101562,0.0,2
